name,family,mass_mev,lifetime_s,stability,representative_decay_mode_count,dominant_interaction,source
electron,lepton,0.51099895069,,stable,0,stable,https://pdg.lbl.gov/2025/listings/contents_listings.html
muon,lepton,105.6583755,2.1969811e-6,unstable,1,weak,https://pdg.lbl.gov/2025/listings/contents_listings.html
tau,lepton,1776.93,2.903e-13,unstable,5,weak,https://pdg.lbl.gov/2025/listings/contents_listings.html
proton,baryon,938.27208943,,stable,0,stable,https://pdg.lbl.gov/2025/listings/contents_listings.html
neutron,baryon,939.56542194,878.4,unstable,1,weak,https://pdg.lbl.gov/2025/listings/contents_listings.html
Lambda,baryon,1115.683,2.617e-10,unstable,2,weak,https://pdg.lbl.gov/2025/tables/contents_tables.html
Sigma_plus,baryon,1189.37,8.018e-11,unstable,3,weak,https://pdg.lbl.gov/2025/tables/contents_tables.html
Xi_minus,baryon,1321.71,1.639e-10,unstable,1,weak,https://pdg.lbl.gov/2025/tables/contents_tables.html
Omega_minus,baryon,1672.45,8.21e-11,unstable,1,weak,https://pdg.lbl.gov/2025/tables/contents_tables.html
Delta_1232,baryon,1232,5.6e-24,unstable,1,strong,https://pdg.lbl.gov/2025/tables/contents_tables.html
pi0,meson,134.9768,8.43e-17,unstable,2,electromagnetic,https://pdg.lbl.gov/2025/listings/contents_listings.html
pi_plus,meson,139.57039,2.6033e-8,unstable,4,weak,https://pdg.lbl.gov/2025/listings/contents_listings.html
K_plus,meson,493.677,1.2380e-8,unstable,6,weak,https://pdg.lbl.gov/2025/listings/contents_listings.html
K_short,meson,497.611,8.954e-11,unstable,2,weak,https://pdg.lbl.gov/2025/listings/contents_listings.html
K_long,meson,497.611,5.116e-8,unstable,6,weak,https://pdg.lbl.gov/2025/listings/contents_listings.html
eta,meson,547.862,5.02e-19,unstable,4,electromagnetic,https://pdg.lbl.gov/2025/tables/contents_tables.html
rho_770,meson,775.26,4.41e-24,unstable,1,strong,https://pdg.lbl.gov/2025/tables/contents_tables.html
omega_782,meson,782.66,7.75e-23,unstable,3,strong,https://pdg.lbl.gov/2025/tables/contents_tables.html
phi_1020,meson,1019.461,1.55e-22,unstable,4,strong,https://pdg.lbl.gov/2025/tables/contents_tables.html
D0,meson,1864.84,4.103e-13,unstable,6,weak,https://pdg.lbl.gov/2025/tables/contents_tables.html
D_plus,meson,1869.66,1.033e-12,unstable,6,weak,https://pdg.lbl.gov/2025/listings/contents_listings.html
Ds_plus,meson,1968.35,5.012e-13,unstable,6,weak,https://pdg.lbl.gov/2025/tables/contents_tables.html
J_psi,meson,3096.900,7.08e-21,unstable,5,mixed,https://pdg.lbl.gov/2025/listings/contents_listings.html
B_plus,meson,5279.41,1.638e-12,unstable,6,weak,https://pdg.lbl.gov/2025/listings/contents_listings.html
B0,meson,5279.72,1.517e-12,unstable,6,weak,https://pdg.lbl.gov/2025/tables/contents_tables.html
Bs0,meson,5366.93,1.516e-12,unstable,6,weak,https://pdg.lbl.gov/2025/tables/contents_tables.html
Upsilon_1S,meson,9460.40,1.219e-20,unstable,3,mixed,https://pdg.lbl.gov/2025/tables/contents_tables.html
W,boson,80369.2,3.16e-25,unstable,5,weak,https://pdg.lbl.gov/2025/listings/contents_listings.html
Z,boson,91188.0,2.64e-25,unstable,6,weak,https://pdg.lbl.gov/2025/listings/contents_listings.html
Higgs,boson,125200,1.6e-22,unstable,6,mixed,https://pdg.lbl.gov/2025/listings/contents_listings.html
top,quark,172560,3.3e-25,unstable,2,weak,https://pdg.lbl.gov/2025/listings/contents_listings.html
