cluster_id,members,graph_type,tolerance_type,tolerance_value,persistence_fraction,family_purity,interaction_purity,empirical_p_value
16,omega_782;top,angular_closeness,angular_close_deg,10.0,0.8232951717272274,0.5,0.5,0.018196360727854428
22,B_plus;Bs0;B0,angular_closeness,angular_close_deg,10.0,0.8413804546208729,1.0,1.0,0.02649470105978804
24,W;Z,angular_closeness,angular_close_deg,10.0,0.8815331010452961,1.0,1.0,0.022195560887822437
2,tau;D0;D_plus;Ds_plus;B_plus;B0;Bs0,3d_distance,euclidean_close_percentile,10.0,1.0,0.8571428571428571,1.0,0.5111073023490539
4,Lambda;Sigma_plus;Xi_minus;Omega_minus;K_short,3d_distance,euclidean_close_percentile,10.0,1.0,0.8,1.0,0.5175564887022597
5,Delta_1232;rho_770;omega_782;phi_1020,3d_distance,euclidean_close_percentile,10.0,0.5,0.75,1.0,0.4968339665400254
7,pi_plus;K_plus;K_long,3d_distance,euclidean_close_percentile,10.0,1.0,1.0,1.0,0.507631806971939
9,J_psi;Upsilon_1S,3d_distance,euclidean_close_percentile,10.0,1.0,1.0,1.0,0.5018996200759848
10,W;Z;top,3d_distance,euclidean_close_percentile,10.0,1.0,0.6666666666666666,1.0,0.5118976204759048
1,muon;neutron;pi_plus;K_long;K_plus,knn,neighbor_rank_k,2.0,0.7,0.6,1.0,0.5368926214757049
2,tau;D0;Ds_plus;D_plus,knn,neighbor_rank_k,2.0,0.8333333333333334,0.75,1.0,0.42551489702059586
3,Lambda;Xi_minus;Omega_minus;Sigma_plus;K_short,knn,neighbor_rank_k,2.0,0.7,0.8,1.0,0.410032279258434
4,Delta_1232;rho_770;omega_782;phi_1020,knn,neighbor_rank_k,2.0,0.8333333333333334,0.75,1.0,0.4555888822235553
5,pi0;eta;Upsilon_1S;J_psi;Higgs,knn,neighbor_rank_k,2.0,0.7,0.8,0.6,0.48018967635044424
6,B_plus;B0;Bs0,knn,neighbor_rank_k,2.0,1.0,1.0,1.0,0.4560421249083517
7,W;Z;top,knn,neighbor_rank_k,2.0,1.0,0.6666666666666666,1.0,0.5630207291874958
2,tau;D0;D_plus;Ds_plus;B0;Bs0;B_plus,multi_representation,angular_close_deg,10.0,0.6383417478489652,0.8571428571428571,1.0,0.35189325771209395
4,Lambda;Sigma_plus;Xi_minus;Omega_minus;K_short,multi_representation,angular_close_deg,10.0,0.7426580388252862,0.8,1.0,0.32678464307138577
5,Delta_1232;rho_770;omega_782;phi_1020;top;W;Z,multi_representation,angular_close_deg,10.0,0.329540875583683,0.42857142857142855,0.5714285714285714,0.30525323506727225
7,pi_plus;K_plus,multi_representation,angular_close_deg,10.0,0.9377799900447984,1.0,1.0,0.16556688662267546
10,J_psi;Upsilon_1S,multi_representation,angular_close_deg,10.0,1.0,1.0,1.0,0.3163367326534693
16,omega_782;top,multi_base_persistent,angular_close_deg,10.0,0.8232951717272274,0.5,0.5,0.01759648070385923
22,B_plus;Bs0;B0,multi_base_persistent,angular_close_deg,10.0,0.8413804546208729,1.0,1.0,0.026894621075784844
24,W;Z,multi_base_persistent,angular_close_deg,10.0,0.8815331010452961,1.0,1.0,0.01999600079984003
