base_index,base,circular_mean_rad,circular_mean_deg,circular_variance,resultant_length_R,entropy_bits,largest_gap_deg,largest_gap_from,largest_gap_to,top_3_gap_sum_deg,top_5_gap_sum_deg,gap_distribution_deg,cluster_count,mean_cluster_density,isolated_points,top4_symmetry_score
0,1.2,4.309706848386804,246.92801335119123,0.9452551945400623,0.05474480545993767,3.469064051764044,38.403603068242084,electron,muon,104.46330702851384,150.59477047706594,"[38.403603068242, 35.012987584005, 31.046716376267, 23.206641757007, 22.924821691546, 19.84325336021, 17.340545678587, 16.573836714589, 15.924438622101, 14.360448266888, 13.85806053727, 12.032808583431, 11.580357904766, 10.909939274765, 10.589856446268, 10.387910106235, 9.355260033034, 9.139350999459, 8.347054525723, 5.855920082411, 4.090329688879, 3.168195944134, 3.148049364885, 3.101817853018, 2.896897391557, 2.83449105683, 2.821202427133, 0.468042119819, 0.42802382869, 0.223798169812, 0.12534054244]",3,10.333333333333334,0,0.02541148212987449
1,1.2097619523904781,4.528561328174973,259.4674513705845,0.9066348410668982,0.09336515893310181,3.3485692939088967,40.47693175158799,eta,K_plus,91.16105684694077,139.6940245910398,"[40.476931751588, 25.360628066048, 25.323497029304, 24.429402259943, 24.103565484156, 19.526815386412, 19.482190405221, 17.790899604346, 16.327065535844, 14.469905948188, 13.718529621046, 11.914431783638, 11.349971674341, 11.153297260869, 10.666488782161, 10.359238816862, 8.859949251097, 8.596998831194, 7.237506833934, 6.693879270284, 6.348509756097, 6.180021555609, 4.702696660039, 4.060250507718, 2.99740104241, 2.468976039102, 2.052595177863, 1.409167626767, 0.940496133918, 0.571773222045, 0.426918681955]",1,31.0,0,0.027305133992337544
2,1.219523904780956,0.015590894724502109,0.8932924665467512,0.9361054044583039,0.06389459554169605,3.369699036878367,41.90539770425463,Higgs,proton,118.44475382369268,178.1939661517102,"[41.905397704255, 41.052471027733, 35.486885091705, 35.293592238395, 24.455620089623, 20.80852197469, 16.500563006443, 15.791372379156, 14.592448579612, 12.987697196954, 12.080730205342, 10.308234298802, 9.985704369024, 9.066390846037, 8.837944829198, 6.83174610242, 6.575435236152, 6.422898994088, 4.914924904783, 4.823780812338, 4.315656011134, 4.170963262847, 3.247543078569, 2.538178824568, 2.052489538787, 1.352552673412, 1.014494971885, 0.881702315602, 0.848567459685, 0.803988919839, 0.051503056924]",4,7.75,0,0.0354604874011296
3,1.2292858571714342,5.176845523046368,296.61139966175205,0.8890957303403662,0.11090426965963389,3.167613149572225,51.80391207894216,electron,neutron,117.28992589083404,160.69067974012785,"[51.803912078942, 36.903767420297, 28.582246391595, 22.458756170851, 20.941997678443, 20.377326582874, 19.37702117922, 17.452121754152, 15.411682931986, 14.976498836488, 12.078673262075, 10.155907955428, 9.706113891654, 9.58754656858, 9.400907271028, 9.153073463621, 7.997029960235, 6.749517706268, 5.767726106749, 4.28510408834, 3.84163229433, 3.673001433355, 3.507981901072, 3.236992956825, 2.781673309428, 2.436396320587, 2.397363182907, 2.12855069277, 1.759756443824, 0.876729116422, 0.192991049655]",3,10.333333333333334,1,0.019690171541865444
4,1.2390478095619124,0.9878817261482512,56.601453566393374,0.8642470106229573,0.13575298937704272,3.108413053971597,49.64281562036121,K_long,Upsilon_1S,128.6555505786282,180.80943489151093,"[49.642815620361, 42.86184346003, 36.150891498237, 28.809909539462, 23.343974773421, 22.093975633037, 16.139743208483, 13.53542914004, 11.332681324167, 11.260503470718, 10.493285161309, 10.246223502421, 10.240012679361, 7.840728943794, 7.404951752674, 7.288321666265, 6.958813315072, 6.527981548181, 6.043105841666, 5.943438463717, 5.915741444133, 3.974641167797, 3.325126374767, 3.298518938767, 2.243501344478, 2.059119382873, 1.582337711845, 1.44189690142, 0.971495511974, 0.901984637219, 0.127006042312]",4,7.75,0,0.028344447761570832
5,1.2488097619523904,0.27377782452459776,15.686313869532695,0.8951454555188644,0.10485454448113563,3.501952761720621,35.66324568156419,K_plus,Delta_1232,86.74506053921603,129.1091293591267,"[35.663245681564, 27.975745039051, 23.1060698186, 21.991402289827, 20.372666530084, 18.448521796936, 17.714058249092, 17.574623557142, 15.513872478103, 14.254678644801, 12.983188133475, 12.300107872128, 12.139949756712, 10.603221906533, 10.537211949201, 10.304672515919, 9.043984991619, 8.368391427178, 8.080144688875, 7.534455973474, 6.847069406487, 6.540737773001, 6.054264961563, 5.164663349957, 5.153303283283, 4.385466437872, 3.297719501882, 3.149821448764, 2.369705644023, 1.627405088678, 0.899629804174]",1,31.0,0,0.0174825088236097
6,1.2585717143428685,5.322761447571087,304.97176630076785,0.9656153931923144,0.03438460680768564,3.284053164876638,40.4333120445915,Upsilon_1S,pi_plus,112.82780897430254,161.83166059697004,"[40.433312044592, 38.139517927343, 34.254979002368, 25.592595660562, 23.411255962106, 22.310068209021, 19.027142299415, 18.989889984048, 14.625608821223, 13.281001101064, 11.672371791064, 11.517195382077, 9.464001112216, 9.400261351796, 9.051746286838, 8.767279960993, 6.821524305309, 6.564891537454, 6.436070566769, 6.261217151394, 5.393813860246, 3.750154225283, 3.152180664713, 2.262940129903, 1.889797636742, 1.852747674217, 1.753685164425, 1.201957161707, 1.084618107773, 0.876521672186, 0.759653245153]",3,10.333333333333334,0,0.024534550369024237
7,1.2683336667333467,0.8399236648621397,48.12408110976121,0.721972002147523,0.278027997852477,3.3051829078461092,54.44078420029779,tau,W,124.16566679404323,162.7323030975826,"[54.440784200298, 47.375136614745, 22.349745979, 19.713944221338, 18.852692082201, 16.696180871682, 16.398459197354, 14.896704521514, 14.149826155853, 12.198661498576, 11.502816601276, 10.661699314076, 10.50790345268, 10.089947716406, 9.68405712028, 9.34069332819, 8.376780661947, 8.357814781957, 7.25993784474, 6.663545140527, 5.865113134935, 4.556565669975, 3.774891270535, 3.758613472494, 2.662268742903, 2.348210851873, 2.143194105197, 2.056740380383, 1.452254016652, 0.972621838462, 0.892195211949]",2,15.5,0,0.023477117036785733
8,1.2780956191238246,1.6132039549798567,92.42977811415825,0.8653890703778011,0.1346109296221989,3.2564804883516913,45.817867734657895,Lambda,Delta_1232,100.83171877581188,148.9141381616111,"[45.817867734658, 27.608221861185, 27.405629179969, 26.033434543446, 22.048984842353, 18.096454185156, 16.388400206302, 16.145738400115, 15.256000983148, 14.382334099949, 14.035053512979, 13.172583349457, 12.28844053055, 11.972365573921, 11.219836552808, 10.786787141199, 10.119275985111, 9.43171272751, 8.699989356157, 5.998895661345, 3.429193005613, 3.377342687848, 3.071509977088, 2.926280190748, 2.137883566265, 1.909700215777, 1.901109540819, 1.455511979292, 1.38097284222, 1.058422389254, 0.444067177757]",1,31.0,0,0.017270981617428866
9,1.2878575715143028,5.1709760754767125,296.27510508793745,0.9532446483437336,0.046755351656266375,3.269072731111794,42.66843922332967,rho_770,top,102.40546312179004,153.3533244967192,"[42.66843922333, 30.62073135122, 29.11629254724, 27.029934209153, 23.917927165776, 22.978389927466, 19.744907547068, 17.358062423577, 14.205814918564, 13.665348114501, 13.107238376159, 12.718099900813, 12.571887812416, 11.138010373991, 9.680739303989, 9.614353361437, 7.948889261806, 7.686959936512, 6.406758136876, 4.688673234609, 4.523572370325, 3.729254328466, 3.051140298982, 2.858767724019, 2.526945109603, 1.646387039004, 1.473532355078, 1.455649327426, 1.002582672497, 0.742112430047, 0.122599218051]",3,10.333333333333334,0,0.02095074094420771
