name,family,dominant_interaction,mass_mev,compton_frequency_hz,lifetime_s,compton_cycles,log10_N,base,log_base_N,phase_fraction,theta_rad,theta_deg,complex_x,complex_y
muon,lepton,weak,105.6583755,2.5548081529516867e+22,2.1969811e-06,5.612865226160765e+16,16.74918461424223,2,55.63958693650641,0.6395869365064115,4.018643242121088,230.25129714230815,-0.6394215956957574,-0.7688563083944173
tau,lepton,weak,1776.93,4.2965976239379536e+23,2.903e-13,124730229022.9188,11.09597171977255,2,36.86002019598807,0.8600201959880707,5.403666259309953,309.60727055570544,0.6375217589987606,-0.7704323505689037
neutron,baryon,weak,939.56542194,2.2718590824858967e+23,878.4,1.9956010180556114e+26,26.300073716822478,2,87.36695377752129,0.36695377752128877,2.305638583335808,132.10335990766396,-0.6704701283461795,0.7419365249099532
Lambda,baryon,weak,1115.683,2.6977094915770273e+23,2.617e-10,70599057394570.8,13.84879890259473,2,46.004714154974714,0.004714154974713836,0.029619909272889527,1.6970957908969808,0.9995613625582186,0.02961557834582313
Sigma_plus,baryon,weak,1189.37,2.8758838648585384e+23,8.018e-11,23058836828435.76,13.362837396118582,2,44.3903849735778,0.39038497357780244,2.452861130127739,140.53859048800888,-0.7720528267817983,0.635558362904804
Xi_minus,baryon,weak,1321.71,3.195880561156057e+23,1.639e-10,52380482397347.77,13.719169493736818,2,45.57409457976597,0.5740945797659691,3.6071426285169763,206.67404871574888,-0.8935748091433982,-0.44891431305354873
Omega_minus,baryon,weak,1672.45,4.043966107924921e+23,8.21e-11,33200961746063.605,13.521150664275083,2,44.91629026686032,0.9162902668603223,5.757221541848439,329.86449606971604,0.8648404881050192,-0.50204674098561
Delta_1232,baryon,strong,1232.0,2.978962746248619e+23,5.5999999999999996e-24,1.6682191378992266,0.22225309913704822,2,0.7383088141991467,0.7383088141991467,4.638931093537262,265.79117311169284,-0.07339184079459846,-0.997303182439914
pi0,meson,electromagnetic,134.9768,3.2637245033104756e+22,8.43e-17,2751319.756290731,6.439541066697468,2,21.391692387643257,0.391692387643257,2.461075854974203,141.0092595515725,-0.7772476555637144,0.6291947885358791
pi_plus,meson,weak,139.57039,3.374797015335964e+22,2.6033e-08,878560907002411.5,14.943771874719356,2,49.64213563421782,0.6421356342178228,4.03465718213387,231.16882831841625,-0.6270277162426132,-0.7789969467613932
