name,family,dominant_interaction,compton_frequency_hz,lifetime_s,compton_cycles,log10_N,base,theta_rad,cylindrical_x,cylindrical_y,cylindrical_z,radial_x,radial_y,radial_z,conical_x,conical_y,conical_z,toroidal_x,toroidal_y,toroidal_z,spherical_x,spherical_y,spherical_z,landscape_x,landscape_y,landscape_z
muon,lepton,weak,2.5548081529516867e+22,2.1969811e-06,5.612865226160765e+16,16.74918461424223,10.0,4.707265760571775,-0.005123197401093733,-0.9999868763380795,16.74918461424223,-0.0032685339925595225,-0.6379787545813967,16.74918461424223,-0.08580937908612493,-16.748964803605908,16.74918461424223,-0.0038633790901482197,-0.7540854052671094,-0.2897082659900409,-0.004649308877403789,-0.907489502640161,-0.42004902871554856,22.407358293416852,-5.6581736791746255,4.707265760571775
tau,lepton,weak,4.2965976239379536e+23,2.903e-13,124730229022.9188,11.09597171977255,10.0,0.603008099579629,0.8236333825952055,0.567122606739301,11.09597171977255,0.3489818074968705,0.24029559334834355,11.09597171977255,9.139012720737004,6.292776406022973,11.09597171977255,0.5459262652408005,0.3759040529115826,0.17525473358155735,0.8000906141354075,0.5509119522163987,0.23738371906586803,23.633124683940874,-12.537152964168326,0.603008099579629
neutron,baryon,weak,2.2718590824858967e+23,878.4,1.9956010180556114e+26,26.300073716822478,10.0,1.8854187686097397,-0.30945746819865794,0.9509132848877844,26.300073716822478,-0.30945746819865794,0.9509132848877844,26.300073716822478,-8.138754225845952,25.009089490854542,26.300073716822478,-0.42705130611414793,1.3122603331451423,-9.307315673519885e-17,-3.789760979017303e-17,1.1645329106045203e-16,-1.0,23.35638138971646,2.9436923271060165,1.8854187686097397
Lambda,baryon,weak,2.6977094915770273e+23,2.617e-10,70599057394570.8,13.84879890259473,10.0,5.333160793533365,0.5816631495091976,-0.8134297637184423,13.84879890259473,0.30714846530894996,-0.42953331971185954,13.84879890259473,8.05533598660277,-11.265025219121855,13.84879890259473,0.36405561165018696,-0.5091154053937569,-0.06663130483769769,0.5794058359044005,-0.8102730121282171,-0.08801433483580395,23.43099517995485,-9.582196277360119,5.333160793533365
Sigma_plus,baryon,weak,2.8758838648585384e+23,8.018e-11,23058836828435.76,13.362837396118582,10.0,2.279774596187564,-0.6510585893807129,0.7590274785497533,13.362837396118582,-0.33180058430029397,0.3868250338611502,13.362837396118582,-8.699990065240803,10.142760775046238,13.362837396118582,-0.4041093005974559,0.4711251314305721,-0.02298450114120547,-0.6507605111574326,0.758679968255108,-0.030256617235662475,23.458771344204077,-10.095933948085497,2.279774596187564
Xi_minus,baryon,weak,3.195880561156057e+23,1.639e-10,52380482397347.77,13.719169493736818,10.0,4.518675196418942,-0.1925045357884272,-0.9812960836062081,13.719169493736818,-0.10070657490951998,-0.5133539692837104,13.719169493736818,-2.6410023547945576,-13.462567294533704,13.719169493736818,-0.12012454606966912,-0.6123375021806956,-0.055051814509477694,-0.19199614481753696,-0.9787045495073772,-0.07262840455885965,23.50459054016632,-9.785421046429502,4.518675196418942
Omega_minus,baryon,weak,4.043966107924921e+23,8.21e-11,33200961746063.605,13.521150664275083,10.0,3.274486196600085,-0.9911826413026716,-0.1325027229163964,13.521150664275083,-0.5110865679041725,-0.06832278842605276,13.521150664275083,-13.40192982886755,-1.7915892799792903,13.521150664275083,-0.616348784458784,-0.0823943931258392,-0.03726573559097914,-0.9899874820285763,-0.13234295230345638,-0.049093058596141916,23.606807507155644,-10.085656842880558,3.274486196600085
Delta_1232,baryon,strong,2.978962746248619e+23,5.5999999999999996e-24,1.6682191378992266,0.22225309913704822,10.0,1.3964574069730293,0.17345711640028355,0.9848414231591289,0.22225309913704822,0.002004693327397193,0.011382092995224228,0.22225309913704822,0.03855138168733873,0.21888405845565753,0.22225309913704822,0.23919711005874988,1.358094883476484,0.027570048873831562,0.0062965461702264485,0.03575004369934771,0.9993409267521375,23.47406507213085,-23.2518119729938,1.3964574069730293
pi0,meson,electromagnetic,3.2637245033104756e+22,8.43e-17,2751319.756290731,6.439541066697468,10.0,2.7617179721755747,-0.9287111115128308,0.3708040875618854,6.439541066697468,-0.22959108165300196,0.0916682383674824,6.439541066697468,-5.9804733416851255,2.387808149554045,6.439541066697468,-0.9348868191257792,0.37326984639483185,0.37994181221452467,-0.6509266639552492,0.2598938084249394,0.7132669111170593,22.513713492072725,-16.07417242537526,2.7617179721755747
pi_plus,meson,weak,3.374797015335964e+22,2.6033e-08,878560907002411.5,14.943771874719356,10.0,5.929893576565993,0.9382388983982022,-0.3459881060564481,14.943771874719356,0.5343791476192663,-0.1970594371183058,14.943771874719356,14.020828061650725,-5.170367328273767,14.943771874719356,0.6152175159129915,-0.22686966348004536,-0.16083526695198216,0.915927968926961,-0.3377606532773186,-0.21678029623333075,22.528247656346128,-7.584475781626771,5.929893576565993
K_plus,meson,weak,1.193705675064756e+23,1.238e-08,1477807625730168.0,15.169617903259415,10.0,1.0657407175941505,0.4838561073289124,0.8751475689279563,15.169617903259415,0.27972490742955336,0.5059367216773858,15.169617903259415,7.339912268338078,13.275654229603479,15.169617903259415,0.32169641396607074,0.5818503277129671,-0.17911159131710494,0.4693589082096872,0.8489265739393985,-0.24295243843955397,23.076897258575315,-7.907279355315901,1.0657407175941505
K_short,meson,weak,1.2032180447431181e+23,8.954e-11,10773614372629.879,13.032361426487812,10.0,0.20333283942758174,0.9793990028924574,0.20193462588981656,13.032361426487812,0.4868653446998802,0.10038296031579924,13.032361426487812,12.763881786436286,2.6316850291186924,13.032361426487812,0.6072888979858075,0.12521215159463325,0.006908817871891717,0.9793585308769727,0.20192628128125378,0.009090925498632847,23.080344336440387,-10.047982909952573,0.20333283942758174
K_long,meson,weak,1.2032180447431181e+23,5.116e-08,6155663516905793.0,15.789274872247002,10.0,4.959160280628399,0.24427434785945706,-0.969706163215351,15.789274872247002,0.14695620816340368,-0.5833782467441089,15.789274872247002,3.8569148225918486,-15.310957156319192,15.789274872247002,0.16973132212951883,-0.6737895755406166,-0.22644361429275722,0.23193559866705213,-0.9207245110562486,-0.3138028884685226,23.080344336440387,-7.2910694641933835,4.959160280628399
eta,meson,electromagnetic,1.3247244221471272e+23,5.02e-19,66501.16599178579,4.82282926003031,10.0,5.169988716939893,0.4417960681256314,-0.8971155077183386,4.82282926003031,0.08214560976365218,-0.1668056954934133,4.82282926003031,2.1307070043226393,-4.32663492025095,4.82282926003031,0.5075633833048221,-1.030663274674639,0.34962787960216596,0.2436403997885539,-0.4947386288074724,0.8341900531393165,23.12212554288529,-18.299296282854982,5.169988716939893
rho_770,meson,strong,1.8745703398187536e+23,4.41e-24,0.8266855198600702,-0.08265966936381419,10.0,5.763819287136546,0.8681340173034223,-0.4963298580587523,-0.08265966936381419,0.0,-0.0,-0.08265966936381419,-0.07175967083378064,0.041026461962525296,-0.08265966936381419,1.1980249438787227,-0.6849352041210781,0.0,0.0,-0.0,1.0,23.272901741168347,-23.35556141053216,5.763819287136546
omega_782,meson,strong,1.892463460210182e+23,7.749999999999999e-23,14.666591816628907,1.1663292053773442,10.0,1.0450772193817848,0.5018351358888379,0.8649632919306065,1.1663292053773442,0.023757451227838067,0.0409483548526653,1.1663292053773442,0.5853049752716598,1.008831948957996,1.1663292053773442,0.6841582078565661,1.179215430224566,0.11137275701860226,0.07436138443422503,0.12816931950933028,0.9889605705191389,23.277027502871032,-22.11069829749369,1.0450772193817848
