record_type,members,member_count,persistence_neighbor_score
cluster,"[""Upsilon_1S"", ""omega_782"", ""tau"", ""top""]",4,0.06666666666666667
cluster,"[""B0"", ""B_plus"", ""Bs0""]",3,0.05416666666666667
cluster,"[""K_long"", ""Upsilon_1S"", ""omega_782"", ""top""]",4,0.05416666666666667
cluster,"[""D0"", ""Ds_plus"", ""K_short"", ""eta"", ""phi_1020"", ""pi0"", ""rho_770""]",7,0.04583333333333333
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Lambda"", ""W"", ""Z""]",6,0.04583333333333333
cluster,"[""Delta_1232"", ""K_long"", ""eta"", ""pi0"", ""tau""]",5,0.041666666666666664
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Lambda"", ""Upsilon_1S"", ""omega_782"", ""top""]",7,0.041666666666666664
cluster,"[""Delta_1232"", ""Ds_plus"", ""K_short""]",3,0.041666666666666664
cluster,"[""Delta_1232"", ""Higgs"", ""J_psi"", ""Lambda"", ""Xi_minus""]",5,0.041666666666666664
cluster,"[""K_long"", ""W"", ""Z""]",3,0.0375
cluster,"[""K_plus"", ""Omega_minus"", ""W"", ""Z"", ""muon"", ""neutron""]",6,0.0375
cluster,"[""Ds_plus"", ""K_short"", ""eta"", ""neutron"", ""phi_1020"", ""pi0"", ""rho_770""]",7,0.0375
cluster,"[""Higgs"", ""J_psi"", ""Xi_minus""]",3,0.0375
cluster,"[""Omega_minus"", ""eta"", ""pi_plus""]",3,0.03333333333333333
cluster,"[""D_plus"", ""K_long"", ""K_short"", ""W"", ""Z"", ""eta""]",6,0.029166666666666667
cluster,"[""D_plus"", ""K_long"", ""K_short""]",3,0.029166666666666667
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Higgs"", ""J_psi"", ""K_plus"", ""Lambda"", ""W"", ""Xi_minus"", ""Z"", ""muon"", ""pi0""]",12,0.029166666666666667
cluster,"[""Higgs"", ""J_psi"", ""W"", ""Z"", ""tau""]",5,0.029166666666666667
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""K_plus"", ""Lambda"", ""Xi_minus"", ""eta"", ""muon"", ""pi0""]",9,0.029166666666666667
cluster,"[""D_plus"", ""omega_782"", ""top""]",3,0.029166666666666667
cluster,"[""Sigma_plus"", ""omega_782"", ""pi_plus"", ""top""]",4,0.029166666666666667
cluster,"[""D_plus"", ""W"", ""Z""]",3,0.029166666666666667
cluster,"[""K_plus"", ""Omega_minus"", ""muon""]",3,0.029166666666666667
cluster,"[""D_plus"", ""Higgs"", ""J_psi""]",3,0.029166666666666667
cluster,"[""D_plus"", ""Higgs"", ""J_psi"", ""Sigma_plus"", ""pi_plus""]",5,0.029166666666666667
cluster,"[""Higgs"", ""J_psi"", ""K_plus"", ""Omega_minus"", ""muon""]",5,0.029166666666666667
cluster,"[""D0"", ""Ds_plus"", ""K_short"", ""Upsilon_1S"", ""neutron"", ""omega_782"", ""tau"", ""top""]",8,0.029166666666666667
cluster,"[""W"", ""Xi_minus"", ""Z""]",3,0.025
cluster,"[""Lambda"", ""muon"", ""omega_782"", ""tau"", ""top""]",5,0.025
cluster,"[""Ds_plus"", ""Higgs"", ""J_psi"", ""K_short""]",4,0.025
cluster,"[""D0"", ""eta"", ""phi_1020"", ""pi0"", ""rho_770"", ""tau""]",6,0.025
cluster,"[""D0"", ""Ds_plus"", ""K_short"", ""Upsilon_1S"", ""omega_782"", ""top""]",6,0.025
cluster,"[""D0"", ""omega_782"", ""top""]",3,0.020833333333333332
cluster,"[""Higgs"", ""J_psi"", ""Sigma_plus"", ""pi0""]",4,0.020833333333333332
cluster,"[""Higgs"", ""J_psi"", ""Omega_minus"", ""Sigma_plus"", ""W"", ""Z"", ""pi0"", ""pi_plus""]",8,0.020833333333333332
cluster,"[""D_plus"", ""Delta_1232"", ""K_long"", ""K_short"", ""Upsilon_1S"", ""phi_1020""]",6,0.020833333333333332
cluster,"[""Ds_plus"", ""K_long"", ""omega_782"", ""top""]",4,0.020833333333333332
cluster,"[""D0"", ""Ds_plus"", ""Higgs"", ""J_psi"", ""K_long"", ""W"", ""Z"", ""neutron"", ""tau""]",9,0.020833333333333332
cluster,"[""Omega_minus"", ""Sigma_plus"", ""Upsilon_1S"", ""phi_1020"", ""pi_plus"", ""rho_770""]",6,0.020833333333333332
cluster,"[""D0"", ""Ds_plus"", ""Higgs"", ""J_psi"", ""K_long"", ""W"", ""Z"", ""neutron""]",8,0.020833333333333332
cluster,"[""Higgs"", ""J_psi"", ""K_short""]",3,0.020833333333333332
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Lambda""]",4,0.020833333333333332
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Lambda"", ""W"", ""Xi_minus"", ""Z""]",7,0.020833333333333332
cluster,"[""D_plus"", ""K_plus"", ""Omega_minus"", ""Sigma_plus"", ""eta"", ""muon"", ""phi_1020"", ""pi0"", ""pi_plus"", ""rho_770""]",10,0.020833333333333332
cluster,"[""Higgs"", ""J_psi"", ""pi0""]",3,0.016666666666666666
cluster,"[""K_short"", ""W"", ""Z""]",3,0.016666666666666666
cluster,"[""D_plus"", ""Higgs"", ""J_psi"", ""K_short"", ""muon"", ""omega_782"", ""pi0"", ""rho_770"", ""top""]",9,0.016666666666666666
cluster,"[""Ds_plus"", ""W"", ""Z"", ""eta"", ""muon""]",5,0.016666666666666666
cluster,"[""Delta_1232"", ""Ds_plus"", ""Upsilon_1S"", ""phi_1020""]",4,0.016666666666666666
cluster,"[""D_plus"", ""Delta_1232"", ""K_short"", ""Upsilon_1S"", ""phi_1020""]",5,0.016666666666666666
cluster,"[""Delta_1232"", ""Omega_minus"", ""Sigma_plus"", ""Upsilon_1S"", ""phi_1020"", ""pi_plus""]",6,0.016666666666666666
