name,angular_drift_deg,mean_abs_angular_velocity_deg_per_base,max_abs_angular_velocity_deg_per_base,crossing_events,neighborhood_persistence
muon,4605.7889041429535,125.4304384081758,812.9822219986065,152,0.11830357142857141
tau,3794.2007289752905,102.27703975300115,830.9913767695014,140,0.09166666666666667
neutron,5877.017950875639,159.49323745593878,843.4433800644166,178,0.11651785714285715
Lambda,4129.038760653246,111.06347159214805,822.6206340014123,140,0.11056547619047619
Sigma_plus,4160.663313301012,103.20467533817425,827.3865820731688,142,0.09568452380952383
Xi_minus,4090.3895711127284,109.31860372577512,831.4239748311799,141,0.10416666666666666
Omega_minus,4209.955854046802,106.29780679084791,837.1888620795771,143,0.09955357142857142
Delta_1232,603.3867383652545,13.412892704528804,643.5432596460096,117,0.09568452380952383
pi0,2758.1477355087613,74.83943321286118,764.2582289131304,131,0.11279761904761906
pi_plus,4275.052103576801,118.46385907454442,837.8414780577056,144,0.10803571428571428
K_plus,4339.661196079611,115.4785205642667,823.8577732434275,154,0.11279761904761905
K_short,4057.7660616162975,105.63045649228307,806.924506926646,138,0.0876488095238095
K_long,4516.930084481735,116.90500137424443,824.222102031019,147,0.08779761904761903
eta,2377.1492473010926,60.904514962539736,762.6998134370185,137,0.11354166666666667
rho_770,358.2997473238874,9.086805990159865,852.0016595899515,140,0.11339285714285714
omega_782,1160.963403328837,25.662402673746847,702.5003035178491,131,0.12782738095238097
phi_1020,1308.3944827753853,33.32603251499213,702.7625012444986,131,0.11116071428571428
D0,3671.80317627906,99.98339536429428,826.9175155956204,128,0.08854166666666667
D_plus,3802.847742065839,97.55561346508632,793.5051689309249,139,0.090625
Ds_plus,3707.771126353357,103.69625975112308,856.182105037214,140,0.0876488095238095
J_psi,1989.4372572642733,52.24768905642343,746.9478414441921,139,0.1282738095238095
B_plus,4015.0102849697973,102.005176360486,836.6949544956675,142,0.16562500000000008
B0,4004.1574187875917,104.04892729601417,834.4333068952968,137,0.16666666666666669
Bs0,4006.3827722061274,103.55149397659946,834.8970521524935,139,0.16860119047619046
Upsilon_1S,2191.100203153524,55.1149802345025,771.3186167993429,129,0.10104166666666667
W,931.5994058017186,26.802489739720503,762.0603437191883,146,0.11889880952380956
Z,1155.9806840175693,25.325780571559214,841.6150953601264,138,0.12395833333333332
Higgs,1968.4788465023698,55.25731103364978,804.1197182334748,134,0.1285714285714286
top,1104.5067482694703,26.3083706869486,685.9842988354605,135,0.1267857142857143
