base_index,base,category_type,category,particle_count,angular_centroid_deg,angular_variance,overlap_score
0,1.2,family,lepton,3,139.528640069699,0.4736888368462727,1.0
0,1.2,family,meson,17,140.5473082998241,0.9473890879961355,0.8235294117647058
0,1.2,family,baryon,7,315.7908106627995,0.5004430988900422,0.8571428571428571
0,1.2,family,boson,3,248.84052717730643,0.5052257819835668,1.0
0,1.2,family,quark,1,138.08265876908493,0.0,1.0
1,1.2097619523904781,family,lepton,3,79.15343819442815,0.5455983148001136,1.0
1,1.2097619523904781,family,meson,17,332.5386627624406,0.8653181416669086,0.9411764705882353
1,1.2097619523904781,family,baryon,7,247.92644455981292,0.6038551448828802,1.0
1,1.2097619523904781,family,boson,3,167.25654549246343,0.3471613701683761,1.0
1,1.2097619523904781,family,quark,1,277.768146252964,0.0,1.0
2,1.219523904780956,family,lepton,3,181.49573141016396,0.48562625978869944,1.0
2,1.219523904780956,family,meson,17,103.72441622450962,0.9450700600388576,0.8235294117647058
2,1.219523904780956,family,baryon,7,337.40882651812274,0.6660426958847885,1.0
2,1.219523904780956,family,boson,3,326.17094181012374,0.4537567847404733,1.0
2,1.219523904780956,family,quark,1,76.99647249415406,0.0,1.0
3,1.2292858571714342,family,lepton,3,310.3929311202026,0.5958977044951135,1.0
3,1.2292858571714342,family,meson,17,344.15273188473486,0.8871843320858884,0.9411764705882353
3,1.2292858571714342,family,baryon,7,187.2580418703639,0.8739460972661297,1.0
3,1.2292858571714342,family,boson,3,277.4153671222219,0.8125556370445877,1.0
3,1.2292858571714342,family,quark,1,253.27208674893996,0.0,1.0
4,1.2390478095619124,family,lepton,3,11.672410647979216,0.2457483346480428,1.0
4,1.2390478095619124,family,meson,17,17.943948764756225,0.7103563909448041,0.8823529411764706
4,1.2390478095619124,family,baryon,7,182.12697835419033,0.5640722604558535,1.0
4,1.2390478095619124,family,boson,3,158.06665369742754,0.41419789709313115,0.6666666666666666
4,1.2390478095619124,family,quark,1,84.507068465227,1.1102230246251565e-16,1.0
5,1.2488097619523904,family,lepton,3,234.19811453897466,0.5725497231804667,1.0
5,1.2488097619523904,family,meson,17,341.6873895496037,0.820236819508811,0.7058823529411765
5,1.2488097619523904,family,baryon,7,114.14467858837277,0.6145036116057154,0.7142857142857143
5,1.2488097619523904,family,boson,3,37.78397564076592,0.25871535545090174,1.0
5,1.2488097619523904,family,quark,1,288.94116153821574,0.0,1.0
6,1.2585717143428685,family,lepton,3,299.9569523118894,0.48395079942006236,1.0
6,1.2585717143428685,family,meson,17,337.5508492412426,0.9396827629197847,0.7647058823529411
6,1.2585717143428685,family,baryon,7,119.31538517254296,0.6132067477661387,1.0
6,1.2585717143428685,family,boson,3,296.5408205170265,0.22729304642336012,1.0
6,1.2585717143428685,family,quark,1,145.07992241154034,1.1102230246251565e-16,1.0
7,1.2683336667333467,family,lepton,3,141.75418985380225,0.19850810020899434,1.0
7,1.2683336667333467,family,meson,17,48.0534870792994,0.5125071890259159,0.8235294117647058
7,1.2683336667333467,family,baryon,7,354.720114391681,0.5765765276096585,1.0
7,1.2683336667333467,family,boson,3,212.47550478621434,0.27742487898143886,0.6666666666666666
7,1.2683336667333467,family,quark,1,11.64636916492043,0.0,1.0
8,1.2780956191238246,family,lepton,3,77.87438757569933,0.19289978075111558,1.0
8,1.2780956191238246,family,meson,17,121.33903242448903,0.8214408478969554,0.7647058823529411
8,1.2780956191238246,family,baryon,7,340.69989106474867,0.6201080746103819,1.0
8,1.2780956191238246,family,boson,3,140.64759584849165,0.4678157175514449,1.0
8,1.2780956191238246,family,quark,1,247.54281412570967,0.0,1.0
9,1.2878575715143028,family,lepton,3,143.61901543153797,0.6362283873426271,1.0
9,1.2878575715143028,family,meson,17,258.4363731280458,0.8680541783760096,0.9411764705882353
9,1.2878575715143028,family,baryon,7,337.66344229764013,0.6645940896119947,1.0
9,1.2878575715143028,family,boson,3,40.534167577381126,0.7960585788004718,1.0
9,1.2878575715143028,family,quark,1,131.82046256778116,1.1102230246251565e-16,1.0
10,1.297619523904781,family,lepton,3,13.728440308689386,0.6697905711920444,1.0
10,1.297619523904781,family,meson,17,30.844739472631108,0.9477793856975705,0.7647058823529411
10,1.297619523904781,family,baryon,7,133.09962148130475,0.6025768377561636,0.7142857142857143
10,1.297619523904781,family,boson,3,274.96361340638754,0.45419299190008366,0.6666666666666666
10,1.297619523904781,family,quark,1,23.65499439861118,0.0,1.0
11,1.307381476295259,family,lepton,3,224.521340587644,0.8037927556893391,1.0
11,1.307381476295259,family,meson,17,164.0506525328471,0.8916195786427901,0.9411764705882353
11,1.307381476295259,family,baryon,7,335.6612502885145,0.47589626793027806,1.0
11,1.307381476295259,family,boson,3,240.0870051659741,0.12751188827239823,1.0
11,1.307381476295259,family,quark,1,282.3267987627216,0.0,1.0
12,1.317143428685737,family,lepton,3,270.8494175100804,0.614550431780216,1.0
12,1.317143428685737,family,meson,17,357.2779167157316,0.692178967021242,0.5882352941176471
