base_index,base,top_k,selected_gaps,midpoint_angles_deg,midpoint_x,midpoint_y,area,centroid_x,centroid_y,centroid_radius,side_lengths,angular_spacing_deg,symmetry_score
0,1.2,3,"[""electron -> muon"", ""J_psi -> tau"", ""B0 -> Bs0""]","[30.674338264273, 78.982470557594, 171.48743491134]","[0.860080848218, 0.191109311829, -0.988983424655]","[0.510157754551, 0.981568760165, 0.148026300896]",0.5569624416229415,0.02073557846385758,0.5465842718710231,0.5469774496914908,"[0.818383316492, 1.444787838441, 1.884191570659]","[48.308132293322, 92.504964353745, 219.186903352933]",0.014897667422962856
0,1.2,4,"[""electron -> muon"", ""J_psi -> tau"", ""B0 -> Bs0"", ""B_plus -> Z""]","[30.674338264273, 78.982470557594, 171.48743491134, 226.474723728118]","[0.860080848218, 0.191109311829, -0.988983424655, -0.688674510627]","[0.510157754551, 0.981568760165, 0.148026300896, -0.725070629948]",1.4185442642037411,-0.1566169438088594,0.22867054641636075,0.27716256220201246,"[0.818383316492, 1.444787838441, 0.923300435662, 1.981018001792]","[48.308132293322, 92.504964353745, 54.987288816778, 164.199614536155]",0.02541148212987449
0,1.2,5,"[""electron -> muon"", ""J_psi -> tau"", ""B0 -> Bs0"", ""B_plus -> Z"", ""Delta_1232 -> proton""]","[30.674338264273, 78.982470557594, 171.48743491134, 226.474723728118, 301.943044621268]","[0.860080848218, 0.191109311829, -0.988983424655, -0.688674510627, 0.529075992806]","[0.510157754551, 0.981568760165, 0.148026300896, -0.725070629948, -0.848574448022]",2.2662828577834233,-0.019478356485887784,0.013221547528629096,0.02354178605040673,"[0.818383316492, 1.444787838441, 0.923300435662, 1.223997337289, 1.398469668108]","[48.308132293322, 92.504964353745, 54.987288816778, 75.46832089315, 88.731293643005]",0.05786423717659259
0,1.2,6,"[""electron -> muon"", ""J_psi -> tau"", ""B0 -> Bs0"", ""B_plus -> Z"", ""Delta_1232 -> proton"", ""phi_1020 -> J_psi""]","[3.246217792165, 30.674338264273, 78.982470557594, 171.48743491134, 226.474723728118, 301.943044621268]","[0.998395410785, 0.860080848218, 0.191109311829, -0.988983424655, -0.688674510627, 0.529075992806]","[0.056626881629, 0.510157754551, 0.981568760165, 0.148026300896, -0.725070629948, -0.848574448022]",2.4353095434142236,0.15016727139262714,0.020455769878725234,0.15155410888141008,"[0.474153109145, 0.818383316492, 1.444787838441, 0.923300435662, 1.223997337289, 1.019632366736]","[27.428120472107, 48.308132293322, 92.504964353745, 54.987288816778, 75.46832089315, 61.303173170897]",0.05738720813915956
1,1.2097619523904781,3,"[""eta -> K_plus"", ""tau -> D0"", ""K_short -> Bs0""]","[74.416776662858, 134.436523098242, 223.672155313029]","[0.268637787382, -0.700118637739, -0.723302816569]","[0.963241267383, 0.714026535284, -0.690530980871]",0.677448139655934,-0.3849278889755244,0.3289122739322485,0.5063129108115219,"[1.000298452418, 1.404748846711, 1.928447253846]","[60.019746435384, 89.235632214786, 210.74462134983]",0.016261110708139594
1,1.2097619523904781,4,"[""eta -> K_plus"", ""tau -> D0"", ""K_short -> Bs0"", ""J_psi -> omega_782""]","[24.918453996684, 74.416776662858, 134.436523098242, 223.672155313029]","[0.906908358768, 0.268637787382, -0.700118637739, -0.723302816569]","[0.421327934983, 0.963241267383, 0.714026535284, -0.690530980871]",1.4739981376887392,-0.061968827039706936,0.35201618919498234,0.35742906006651826,"[0.837292889096, 1.000298452418, 1.404748846711, 1.973276140067]","[49.498322666174, 60.019746435384, 89.235632214786, 161.246298683656]",0.027305133992337544
1,1.2097619523904781,5,"[""eta -> K_plus"", ""tau -> D0"", ""K_short -> Bs0"", ""J_psi -> omega_782"", ""Z -> eta""]","[24.918453996684, 74.416776662858, 102.14627448037, 134.436523098242, 223.672155313029]","[0.906908358768, 0.268637787382, -0.210408193302, -0.700118637739, -0.723302816569]","[0.421327934983, 0.963241267383, 0.977613621116, 0.714026535284, -0.690530980871]",1.5406524505696468,-0.09165670029225773,0.47713567557915076,0.4858594484198464,"[0.837292889096, 0.479261532111, 0.55614249182, 1.404748846711, 1.973276140067]","[49.498322666174, 27.729497817512, 32.290248617872, 89.235632214786, 161.246298683656]",0.022939582547217806
1,1.2097619523904781,6,"[""eta -> K_plus"", ""tau -> D0"", ""K_short -> Bs0"", ""J_psi -> omega_782"", ""Z -> eta"", ""pi_plus -> Upsilon_1S""]","[24.918453996684, 74.416776662858, 102.14627448037, 134.436523098242, 223.672155313029, 261.310859289474]","[0.906908358768, 0.268637787382, -0.210408193302, -0.700118637739, -0.723302816569, -0.151073467934]","[0.421327934983, 0.963241267383, 0.977613621116, 0.714026535284, -0.690530980871, -0.988522537571]",2.101666185111289,-0.10155949489913746,0.2328593067207311,0.2540428856130938,"[0.837292889096, 0.479261532111, 0.55614249182, 1.404748846711, 0.645170826452, 1.762669538113]","[49.498322666174, 27.729497817512, 32.290248617872, 89.235632214786, 37.638703976446, 123.60759470721]",0.0313011163787463
2,1.219523904780956,3,"[""Higgs -> proton"", ""top -> muon"", ""rho_770 -> neutron""]","[32.490265857366, 97.522708008021, 293.219015524785]","[0.843482716997, -0.130919120811, 0.394246933758]","[0.537156314426, 0.991393052127, -0.919004545812]",0.8114726074980251,0.3689368433145494,0.2031816069139979,0.4211854220448029,"[1.075076720704, 1.981266859129, 1.523882291987]","[65.032442150655, 195.696307516764, 99.271250332581]",0.01943098119912354
2,1.219523904780956,4,"[""Higgs -> proton"", ""top -> muon"", ""rho_770 -> neutron"", ""D_plus -> electron""]","[32.490265857366, 97.522708008021, 158.089461847653, 293.219015524785]","[0.843482716997, -0.130919120811, -0.927767636258, 0.394246933758]","[0.537156314426, 0.991393052127, 0.373158428972, -0.919004545812]",1.7349592713335902,0.044760723421461646,0.24567581242841816,0.249720097656508,"[1.075076720704, 1.008554215617, 1.848623184085, 1.523882291987]","[65.032442150655, 60.566753839632, 135.129553677132, 99.271250332581]",0.0354604874011296
2,1.219523904780956,5,"[""Higgs -> proton"", ""top -> muon"", ""rho_770 -> neutron"", ""D_plus -> electron"", ""Z -> B_plus""]","[32.490265857366, 97.522708008021, 158.089461847653, 293.219015524785, 327.465522450532]","[0.843482716997, -0.130919120811, -0.927767636258, 0.394246933758, 0.84306797484]","[0.537156314426, 0.991393052127, 0.373158428972, -0.919004545812, -0.537807019105]",1.97611330323183,0.20442217370522625,0.08897924612171684,0.22294782201842375,"[1.075076720704, 1.008554215617, 1.848623184085, 0.588856418225, 1.074963413539]","[65.032442150655, 60.566753839632, 135.129553677132, 34.246506925747, 65.024743406834]",0.03809259487423757
2,1.219523904780956,6,"[""Higgs -> proton"", ""top -> muon"", ""rho_770 -> neutron"", ""D_plus -> electron"", ""Z -> B_plus"", ""Delta_1232 -> Bs0""]","[32.490265857366, 97.522708008021, 158.089461847653, 218.71173059741, 293.219015524785, 327.465522450532]","[0.843482716997, -0.130919120811, -0.927767636258, -0.780302380334, 0.394246933758, 0.84306797484]","[0.537156314426, 0.991393052127, 0.373158428972, -0.625402426638, -0.919004545812, -0.537807019105]",2.540894731428012,0.040301414698687144,-0.030084366004953456,0.0502918791121942,"[1.075076720704, 1.008554215617, 1.009390798483, 1.210689182085, 0.588856418225, 1.074963413539]","[65.032442150655, 60.566753839632, 60.622268749757, 74.507284927375, 34.246506925747, 65.024743406834]",0.10433514955044985
3,1.2292858571714342,3,"[""electron -> neutron"", ""Ds_plus -> omega_782"", ""pi0 -> Ds_plus""]","[101.703693095329, 312.184939599867, 344.927946505813]","[-0.20285041238, 0.671525842988, 0.965599579326]","[0.979209737593, -0.740981134847, -0.260033560152]",0.46319604823203137,0.47809166997810665,-0.007268319135156613,0.47814691608908794,"[1.929660714628, 0.563728597828, 1.703232025921]","[210.481246504538, 32.743006905946, 116.775746589516]",0.01630767202014374
3,1.2292858571714342,4,"[""electron -> neutron"", ""Ds_plus -> omega_782"", ""pi0 -> Ds_plus"", ""top -> tau""]","[101.703693095329, 264.501464834365, 312.184939599867, 344.927946505813]","[-0.20285041238, -0.095820304008, 0.671525842988, 0.965599579326]","[0.979209737593, -0.995398648452, -0.740981134847, -0.260033560152]",1.2344152836870819,0.3346136764816134,-0.2543009014643388,0.42027997926872174,"[1.977506946217, 0.80842339188, 0.563728597828, 1.703232025921]","[162.797771739036, 47.683474765502, 32.743006905946, 116.775746589516]",0.019690171541865444
3,1.2292858571714342,5,"[""electron -> neutron"", ""Ds_plus -> omega_782"", ""pi0 -> Ds_plus"", ""top -> tau"", ""K_short -> B_plus""]","[101.703693095329, 141.749649407377, 264.501464834365, 312.184939599867, 344.927946505813]","[-0.20285041238, -0.785313142633, -0.095820304008, 0.671525842988, 0.965599579326]","[0.979209737593, 0.619098754649, -0.995398648452, -0.740981134847, -0.260033560152]",1.8287545383105293,0.11062831265871405,-0.07962097024165134,0.136301586432206,"[0.684793948696, 1.755563225616, 0.80842339188, 0.563728597828, 1.703232025921]","[40.045956312047, 122.751815426989, 47.683474765502, 32.743006905946, 116.775746589516]",0.025503031479851366
3,1.2292858571714342,6,"[""electron -> neutron"", ""Ds_plus -> omega_782"", ""pi0 -> Ds_plus"", ""top -> tau"", ""K_short -> B_plus"", ""Upsilon_1S -> proton""]","[101.703693095329, 141.749649407377, 220.504608518395, 264.501464834365, 312.184939599867, 344.927946505813]","[-0.20285041238, -0.785313142633, -0.760353725553, -0.095820304008, 0.671525842988, 0.965599579326]","[0.979209737593, 0.619098754649, -0.649509208586, -0.995398648452, -0.740981134847, -0.260033560152]",2.2459541341179388,-0.03453536037659555,-0.1746023432989713,0.1779850257797918,"[0.684793948696, 1.26885347337, 0.749162314163, 0.80842339188, 0.563728597828, 1.703232025921]","[40.045956312047, 78.754959111019, 43.99685631597, 47.683474765502, 32.743006905946, 116.775746589516]",0.038201617739691
4,1.2390478095619124,3,"[""K_long -> Upsilon_1S"", ""eta -> muon"", ""Omega_minus -> B_plus""]","[108.498255658478, 246.773857841418, 312.785929059777]","[-0.317275785016, -0.394361239457, 0.679261091286]","[0.948333314949, -0.918955500998, -0.733896702448]",0.9952488145814151,-0.010791977728790222,-0.23483962949900483,0.2350874696076517,"[1.868879260265, 1.089454757202, 1.955245145056]","[138.27560218294, 66.012071218358, 155.712326598701]",0.02703290666881553
4,1.2390478095619124,4,"[""K_long -> Upsilon_1S"", ""eta -> muon"", ""Omega_minus -> B_plus"", ""Delta_1232 -> W""]","[108.498255658478, 153.925628213246, 246.773857841418, 312.785929059777]","[-0.317275785016, -0.898224269258, -0.394361239457, 0.679261091286]","[0.948333314949, 0.439537441086, -0.918955500998, -0.733896702448]",1.5180377376375076,-0.2326500506110719,-0.06624536185285257,0.2418976932844745,"[0.772252797084, 1.448924092729, 1.089454757202, 1.955245145056]","[45.427372554768, 92.848229628172, 66.012071218358, 155.712326598701]",0.028344447761570832
4,1.2390478095619124,5,"[""K_long -> Upsilon_1S"", ""eta -> muon"", ""Omega_minus -> B_plus"", ""Delta_1232 -> W"", ""rho_770 -> pi0""]","[52.00177826898, 108.498255658478, 153.925628213246, 246.773857841418, 312.785929059777]","[0.615637017816, -0.317275785016, -0.898224269258, -0.394361239457, 0.679261091286]","[0.788029861296, 0.948333314949, 0.439537441086, -0.918955500998, -0.733896702448]",2.2228505464248802,-0.06299263692561427,0.10460968277693868,0.12211166216841864,"[0.946585175745, 0.772252797084, 1.448924092729, 1.089454757202, 1.523255884005]","[56.496477389498, 45.427372554768, 92.848229628172, 66.012071218358, 99.215849209203]",0.0494422138696628
4,1.2390478095619124,6,"[""K_long -> Upsilon_1S"", ""eta -> muon"", ""Omega_minus -> B_plus"", ""Delta_1232 -> W"", ""rho_770 -> pi0"", ""W -> neutron""]","[52.00177826898, 108.498255658478, 153.925628213246, 179.377570799496, 246.773857841418, 312.785929059777]","[0.615637017816, -0.317275785016, -0.898224269258, -0.999940993428, -0.394361239457, 0.679261091286]","[0.788029861296, 0.948333314949, 0.439537441086, 0.010863225237, -0.918955500998, -0.733896702448]",2.39993781696076,-0.2191506963426513,0.08898527318696314,0.23652781348422308,"[0.946585175745, 0.772252797084, 0.440576753029, 1.109634940905, 1.089454757202, 1.523255884005]","[56.496477389498, 45.427372554768, 25.451942586249, 67.396287041923, 66.012071218358, 99.215849209203]",0.05393335269802837
5,1.2488097619523904,3,"[""K_plus -> Delta_1232"", ""Bs0 -> Sigma_plus"", ""B0 -> phi_1020""]","[91.331030736199, 131.020361002201, 158.93097407505]","[-0.023228779335, -0.656327186082, -0.933148012617]","[0.999730175503, 0.754476391154, 0.35949240124]",0.09108618970573973,-0.5375679926781025,0.7045663226322928,0.8862240403755456,"[0.678942568531, 0.482329889487, 1.11259040922]","[39.689330266001, 27.910613072849, 292.40005666115]",0.008625644113059732
5,1.2488097619523904,4,"[""K_plus -> Delta_1232"", ""Bs0 -> Sigma_plus"", ""B0 -> phi_1020"", ""top -> pi_plus""]","[91.331030736199, 131.020361002201, 158.93097407505, 299.936862683129]","[-0.023228779335, -0.656327186082, -0.933148012617, 0.499045376407]","[0.999730175503, 0.754476391154, 0.35949240124, -0.866575854895]",1.1073698873436342,-0.2784146504067057,0.3117807782505689,0.4179975732556573,"[0.678942568531, 0.482329889487, 1.885317286895, 1.938006319095]","[39.689330266001, 27.910613072849, 141.00588860808, 151.39416805307]",0.0174825088236097
5,1.2488097619523904,5,"[""K_plus -> Delta_1232"", ""Bs0 -> Sigma_plus"", ""B0 -> phi_1020"", ""top -> pi_plus"", ""B_plus -> pi0""]","[91.331030736199, 131.020361002201, 158.93097407505, 253.89692772184, 299.936862683129]","[-0.023228779335, -0.656327186082, -0.933148012617, -0.277366171198, 0.499045376407]","[0.999730175503, 0.754476391154, 0.35949240124, -0.960764282785, -0.866575854895]",1.6507846853245893,-0.2782049545648918,0.057271766043477126,0.2840388211674459,"[0.678942568531, 0.482329889487, 1.47415315868, 0.782103798228, 1.938006319095]","[39.689330266001, 27.910613072849, 94.965953646791, 46.039934961289, 151.39416805307]",0.02384128455577899
5,1.2488097619523904,6,"[""K_plus -> Delta_1232"", ""Bs0 -> Sigma_plus"", ""B0 -> phi_1020"", ""top -> pi_plus"", ""B_plus -> pi0"", ""K_long -> B_plus""]","[91.331030736199, 131.020361002201, 158.93097407505, 234.486333558331, 253.89692772184, 299.936862683129]","[-0.023228779335, -0.656327186082, -0.933148012617, -0.580897125609, -0.277366171198, 0.499045376407]","[0.999730175503, 0.754476391154, 0.35949240124, -0.813976983372, -0.960764282785, -0.866575854895]",1.8030238482565029,-0.32865364973887784,-0.08793635885910683,0.34021467442790093,"[0.678942568531, 0.482329889487, 1.225198385577, 0.337161017252, 0.782103798228, 1.938006319095]","[39.689330266001, 27.910613072849, 75.555359483281, 19.41059416351, 46.039934961289, 151.39416805307]",0.027285246851180417
6,1.2585717143428685,3,"[""Upsilon_1S -> pi_plus"", ""Ds_plus -> B0"", ""muon -> Sigma_plus""]","[203.093101045949, 267.864316758409, 348.358524994996]","[-0.919868731755, -0.037266073344, 0.979429437606]","[-0.392226358547, -0.999305378639, -0.201786958822]",0.6605531959910942,0.007431544169012594,-0.531106232002928,0.5311582226804776,"[1.071229382192, 1.292170806021, 1.908821809679]","[64.77121571246, 80.494208236587, 214.734576050953]",0.015586913368910165
