base,top_k,selected_gaps,midpoint_angles_deg,polygon_area,centroid_radius,mean_angle_gap,angle_gap_std,symmetry_score,qualitative_shape
2,3,"[""eta -> Higgs"", ""K_long -> Z"", ""pi_plus -> rho_770""]","[47.33830686028, 178.577539236283, 246.158308123932]",0.9994889607402166,0.24749386616639912,120.0,39.02942663656706,0.02781938779643313,irregular
2,4,"[""eta -> Higgs"", ""K_long -> Z"", ""pi_plus -> rho_770"", ""B_plus -> Lambda""]","[47.33830686028, 178.577539236283, 246.158308123932, 347.767756547906]",1.75908865817418,0.11103028129693261,90.0,28.56583147587191,0.036463958126789445,irregular
2,5,"[""eta -> Higgs"", ""K_short -> neutron"", ""K_long -> Z"", ""pi_plus -> rho_770"", ""B_plus -> Lambda""]","[47.33830686028, 118.713841721548, 178.577539236283, 246.158308123932, 347.767756547906]",2.289339615312225,0.11196563848829547,72.0,15.481731517223125,0.07785870274038806,balanced radial structure
2,6,"[""eta -> Higgs"", ""K_short -> neutron"", ""K_long -> Z"", ""Xi_minus -> W"", ""pi_plus -> rho_770"", ""B_plus -> Lambda""]","[47.33830686028, 118.713841721548, 178.577539236283, 214.657486283064, 246.158308123932, 347.767756547906]",2.382842740778402,0.1755894170092987,60.0,23.256984921953062,0.05358579790432521,irregular
e,3,"[""K_short -> eta"", ""pi_plus -> Higgs"", ""omega_782 -> Z""]","[20.357263321695, 161.053890448422, 260.46730540036]",1.2434722121121986,0.11954016989946806,120.0,16.853980416338246,0.06757783475102129,balanced radial structure
e,4,"[""K_short -> eta"", ""pi_plus -> Higgs"", ""omega_782 -> Z"", ""D0 -> K_short""]","[20.357263321695, 161.053890448422, 260.46730540036, 351.324369388634]",1.5525800541933727,0.23444362361217325,90.0,39.926441626888064,0.03176261583109492,irregular
e,5,"[""K_short -> eta"", ""Omega_minus -> Ds_plus"", ""pi_plus -> Higgs"", ""omega_782 -> Z"", ""D0 -> K_short""]","[20.357263321695, 59.655214456706, 161.053890448422, 260.46730540036, 351.324369388634]",2.0426813123226784,0.2757440059809925,72.0,31.263277292653274,0.031981924355931245,irregular
e,6,"[""K_short -> eta"", ""Omega_minus -> Ds_plus"", ""Upsilon_1S -> B0"", ""pi_plus -> Higgs"", ""omega_782 -> Z"", ""D0 -> K_short""]","[20.357263321695, 59.655214456706, 95.007094277714, 161.053890448422, 260.46730540036, 351.324369388634]",2.298780307605935,0.3102183501014775,60.0,27.49910826980786,0.03782278193249432,irregular
pi,3,"[""pi0 -> pi_plus"", ""pi_plus -> phi_1020"", ""K_short -> top""]","[2.124741170522, 43.44141878973, 90.904613278747]",0.1986451268035861,0.8094482766795585,120.0,106.95821684848471,0.009821888055665967,asymmetric sectoring
pi,4,"[""pi0 -> pi_plus"", ""pi_plus -> phi_1020"", ""K_short -> top"", ""Xi_minus -> D0""]","[2.124741170522, 43.44141878973, 90.904613278747, 226.660369870233]",1.3980673309206588,0.3572150181687808,90.0,45.661920732983596,0.02145459403705101,irregular
pi,5,"[""pi0 -> pi_plus"", ""pi_plus -> phi_1020"", ""K_short -> top"", ""omega_782 -> Higgs"", ""Xi_minus -> D0""]","[2.124741170522, 43.44141878973, 90.904613278747, 136.555651689954, 226.660369870233]",1.9067550756235805,0.34218637590097606,72.0,36.31334773535311,0.029737445896542623,asymmetric sectoring
pi,6,"[""pi0 -> pi_plus"", ""pi_plus -> phi_1020"", ""K_short -> top"", ""omega_782 -> Higgs"", ""Xi_minus -> D0"", ""B_plus -> rho_770""]","[2.124741170522, 43.44141878973, 90.904613278747, 136.555651689954, 226.660369870233, 290.826674086875]",2.479709806271991,0.16574778768019813,60.0,17.143653799816317,0.06176768047505298,irregular
phi,3,"[""B_plus -> Delta_1232"", ""muon -> Lambda"", ""Upsilon_1S -> K_short""]","[2.883905391374, 73.888806260219, 113.479791845558]",0.32338219117031175,0.7062146909731778,120.0,92.3968865647672,0.011458769013206018,asymmetric sectoring
phi,4,"[""B_plus -> Delta_1232"", ""muon -> Lambda"", ""Upsilon_1S -> K_short"", ""K_short -> Ds_plus""]","[2.883905391374, 73.888806260219, 113.479791845558, 144.148828731531]",0.7336035135335712,0.6287049182106789,90.0,75.82012541521138,0.015298113185061751,asymmetric sectoring
phi,5,"[""B_plus -> Delta_1232"", ""muon -> Lambda"", ""Upsilon_1S -> K_short"", ""K_short -> Ds_plus"", ""Omega_minus -> W""]","[2.883905391374, 73.888806260219, 113.479791845558, 144.148828731531, 264.598302073334]",1.972282889861059,0.3037196704448175,72.0,34.05251050490993,0.032368712612411206,irregular
phi,6,"[""B_plus -> Delta_1232"", ""muon -> Lambda"", ""Upsilon_1S -> K_short"", ""K_short -> Ds_plus"", ""Omega_minus -> W"", ""neutron -> D0""]","[2.883905391374, 73.888806260219, 113.479791845558, 144.148828731531, 264.598302073334, 316.5010986058]",2.232966888183368,0.1808054441273409,60.0,29.729538038911073,0.04029313296640338,asymmetric sectoring
10,3,"[""Upsilon_1S -> Omega_minus"", ""phi_1020 -> D_plus"", ""pi_plus -> K_short""]","[173.973282050253, 225.265320232952, 355.70399421729]",0.785823104566623,0.32563561824257564,120.0,52.361117368392506,0.021365098219250093,irregular
10,4,"[""Upsilon_1S -> Omega_minus"", ""phi_1020 -> D_plus"", ""Lambda -> rho_770"", ""pi_plus -> K_short""]","[173.973282050253, 225.265320232952, 317.905061981565, 355.70399421729]",1.2111883706305286,0.33781790258181893,90.0,54.82174111339847,0.021526432995879682,asymmetric sectoring
10,5,"[""K_short -> tau"", ""Upsilon_1S -> Omega_minus"", ""phi_1020 -> D_plus"", ""Lambda -> rho_770"", ""pi_plus -> K_short""]","[23.099966326864, 173.973282050253, 225.265320232952, 317.905061981565, 355.70399421729]",1.6695271737522488,0.27139690679630557,72.0,45.24389659510766,0.024506666714563953,asymmetric sectoring
10,6,"[""K_short -> tau"", ""Ds_plus -> pi0"", ""Upsilon_1S -> Omega_minus"", ""phi_1020 -> D_plus"", ""Lambda -> rho_770"", ""pi_plus -> K_short""]","[23.099966326864, 147.079587218695, 173.973282050253, 225.265320232952, 317.905061981565, 355.70399421729]",2.0669425311762537,0.07203640507054145,60.0,36.254909360319004,0.030114627523043964,asymmetric sectoring
