name,angular_drift_deg,mean_abs_angular_velocity_deg_per_base,max_abs_angular_velocity_deg_per_base,crossing_events,neighborhood_persistence
electron,35944.119088053856,980.4122391698763,18277.326388727426,1398,0.10990666666666667
muon,18382.91409082269,491.65075776822033,18076.73111286138,832,0.11751333333333334
tau,14656.52998243484,387.0589667850557,18063.032923624407,772,0.09542666666666667
proton,38857.99106631094,1064.0688847260058,18299.016026429064,1486,0.11006666666666667
neutron,23483.70307841168,637.6315410715988,18275.533730175815,984,0.11274000000000002
Lambda,16499.778973868302,440.2248725517239,18209.846674565153,792,0.11156
Sigma_plus,16272.476360039876,433.19537365845525,18012.95163753156,783,0.09484666666666668
Xi_minus,16523.69821311986,437.0541063423098,18057.084826117694,770,0.10454666666666666
Omega_minus,16285.199564930212,434.6929527243638,18205.562339453412,795,0.09867333333333334
Delta_1232,963.3867383652545,20.178025678769703,4404.1838115172095,787,0.09635333333333332
pi0,10967.135340975712,285.53606768319554,17844.121999240808,762,0.11379999999999998
pi_plus,17248.19043239616,457.53756025703274,18109.354863811754,813,0.10774
K_plus,17508.86326261042,463.221675357428,18200.5452372747,818,0.11356666666666666
K_short,16047.867665300666,424.4351155996173,17997.303127951025,785,0.09065999999999999
K_long,17854.21395298024,479.4275831284612,18116.731845399383,826,0.08924
eta,9294.201849352941,239.20498246046608,18040.568462760126,748,0.11409333333333335
rho_770,358.2997473238874,7.504547461869911,1637.9901071840213,800,0.11181333333333333
omega_782,4436.242733702042,98.1814878664478,17011.946991805824,789,0.12534666666666666
phi_1020,5182.11103944095,120.48249434623719,17147.47695458322,809,0.11026000000000001
D0,14882.699913228707,390.6321602731902,18111.274304728497,784,0.08925999999999999
D_plus,15047.632326074452,397.80978722954967,18120.213474681605,784,0.09096666666666668
Ds_plus,14847.602259465883,392.6846283586727,18097.568424356454,776,0.08981333333333331
J_psi,8108.8617751557185,202.95343699607696,17862.940377765746,794,0.12812
B_plus,15520.073870197783,414.4200482826657,18076.688188938348,778,0.16121999999999997
B0,15478.121976455002,414.4661384283428,18127.509154097956,776,0.16349333333333332
Bs0,15486.72410870166,414.45668775775306,18117.088440652144,779,0.16371333333333335
Upsilon_1S,8905.778754933954,228.76976244271495,17969.53891330517,783,0.1013
W,3416.696478088861,71.56231918702284,15619.645484430217,785,0.12133333333333332
Z,3315.9806840175697,69.45283833359427,15159.216819442012,774,0.12218
Higgs,8202.712542898691,202.07054160775257,17945.99612809102,786,0.12842
top,4331.9452616651915,96.46059004725592,17184.264329297013,793,0.1250133333333333
