record_type,members,member_count,persistence_neighbor_score
cluster,"[""B0"", ""B_plus"", ""Bs0""]",3,0.0548
cluster,"[""Upsilon_1S"", ""omega_782"", ""tau"", ""top""]",4,0.0512
cluster,"[""Delta_1232"", ""Higgs"", ""J_psi"", ""Lambda"", ""Xi_minus""]",5,0.0416
cluster,"[""K_long"", ""Upsilon_1S"", ""omega_782"", ""top""]",4,0.0406
cluster,"[""K_long"", ""W"", ""Z""]",3,0.036
cluster,"[""Ds_plus"", ""K_short"", ""eta"", ""neutron"", ""phi_1020"", ""pi0"", ""rho_770""]",7,0.0356
cluster,"[""Higgs"", ""J_psi"", ""K_plus"", ""Omega_minus"", ""muon""]",5,0.0318
cluster,"[""Omega_minus"", ""eta"", ""pi_plus""]",3,0.0306
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Higgs"", ""J_psi"", ""K_plus"", ""Lambda"", ""W"", ""Xi_minus"", ""Z"", ""muon"", ""pi0""]",12,0.0276
cluster,"[""D0"", ""Ds_plus"", ""K_short"", ""eta"", ""phi_1020"", ""pi0"", ""rho_770""]",7,0.0264
cluster,"[""D_plus"", ""omega_782"", ""top""]",3,0.0256
cluster,"[""Higgs"", ""J_psi"", ""W"", ""Z"", ""tau""]",5,0.025
cluster,"[""Delta_1232"", ""Ds_plus"", ""K_short""]",3,0.0248
cluster,"[""D0"", ""eta"", ""phi_1020"", ""pi0"", ""rho_770"", ""tau""]",6,0.0246
cluster,"[""K_plus"", ""Omega_minus"", ""W"", ""Z"", ""muon"", ""neutron""]",6,0.024
cluster,"[""D_plus"", ""W"", ""Z""]",3,0.0218
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Lambda""]",4,0.0218
cluster,"[""Higgs"", ""J_psi"", ""Xi_minus""]",3,0.0218
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Lambda"", ""Upsilon_1S"", ""omega_782"", ""top""]",7,0.0208
cluster,"[""Higgs"", ""J_psi"", ""K_short""]",3,0.0204
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Lambda"", ""W"", ""Z""]",6,0.0202
cluster,"[""D_plus"", ""K_plus"", ""Omega_minus"", ""Sigma_plus"", ""eta"", ""muon"", ""phi_1020"", ""pi0"", ""pi_plus"", ""rho_770""]",10,0.0202
cluster,"[""Ds_plus"", ""K_long"", ""omega_782"", ""top""]",4,0.02
cluster,"[""D0"", ""Ds_plus"", ""K_short"", ""Upsilon_1S"", ""neutron"", ""omega_782"", ""proton"", ""tau"", ""top""]",9,0.0192
cluster,"[""D0"", ""Ds_plus"", ""K_short"", ""eta"", ""phi_1020"", ""pi0"", ""proton"", ""rho_770""]",8,0.019
cluster,"[""D0"", ""omega_782"", ""top""]",3,0.0186
cluster,"[""D_plus"", ""Higgs"", ""J_psi""]",3,0.0184
cluster,"[""D0"", ""Ds_plus"", ""K_short"", ""Upsilon_1S"", ""omega_782"", ""top""]",6,0.0182
cluster,"[""D_plus"", ""K_long"", ""K_short""]",3,0.0178
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Lambda"", ""Upsilon_1S"", ""omega_782"", ""proton"", ""top""]",8,0.0174
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Delta_1232"", ""K_plus"", ""Lambda"", ""Xi_minus"", ""eta"", ""muon"", ""pi0""]",10,0.0172
cluster,"[""W"", ""Xi_minus"", ""Z""]",3,0.017
cluster,"[""Omega_minus"", ""Sigma_plus"", ""Upsilon_1S"", ""phi_1020"", ""pi_plus"", ""rho_770""]",6,0.017
cluster,"[""D0"", ""Delta_1232"", ""Ds_plus"", ""K_long"", ""K_short"", ""eta"", ""phi_1020"", ""pi0"", ""proton"", ""rho_770"", ""tau""]",11,0.017
cluster,"[""Higgs"", ""J_psi"", ""Sigma_plus"", ""pi0""]",4,0.0168
cluster,"[""B0"", ""B_plus"", ""Bs0"", ""Lambda"", ""W"", ""Xi_minus"", ""Z""]",7,0.0166
cluster,"[""K_plus"", ""Omega_minus"", ""muon""]",3,0.0164
