name,family,dominant_interaction,base_name,base_value,theta_rad,theta_deg,x,y,z_log10_N,N,compton_frequency_hz,lifetime_s
muon,lepton,weak,2,2.0,4.018643242121088,230.25129714230815,-0.6394215956957574,-0.7688563083944173,16.74918461424223,5.612865226160765e+16,2.5548081529516867e+22,2.1969811e-06
tau,lepton,weak,2,2.0,5.403666259309953,309.60727055570544,0.6375217589987606,-0.7704323505689037,11.09597171977255,124730229022.9188,4.2965976239379536e+23,2.903e-13
neutron,baryon,weak,2,2.0,2.305638583335808,132.10335990766396,-0.6704701283461795,0.7419365249099532,26.300073716822478,1.9956010180556114e+26,2.2718590824858967e+23,878.4
Lambda,baryon,weak,2,2.0,0.029619909272889527,1.6970957908969808,0.9995613625582186,0.02961557834582313,13.84879890259473,70599057394570.8,2.6977094915770273e+23,2.617e-10
Sigma_plus,baryon,weak,2,2.0,2.452861130127739,140.53859048800888,-0.7720528267817983,0.635558362904804,13.362837396118582,23058836828435.76,2.8758838648585384e+23,8.018e-11
Xi_minus,baryon,weak,2,2.0,3.6071426285169763,206.67404871574888,-0.8935748091433982,-0.44891431305354873,13.719169493736818,52380482397347.77,3.195880561156057e+23,1.639e-10
Omega_minus,baryon,weak,2,2.0,5.757221541848439,329.86449606971604,0.8648404881050192,-0.50204674098561,13.521150664275083,33200961746063.605,4.043966107924921e+23,8.21e-11
Delta_1232,baryon,strong,2,2.0,4.638931093537262,265.79117311169284,-0.07339184079459846,-0.997303182439914,0.22225309913704822,1.6682191378992266,2.978962746248619e+23,5.5999999999999996e-24
pi0,meson,electromagnetic,2,2.0,2.461075854974203,141.0092595515725,-0.7772476555637144,0.6291947885358791,6.439541066697468,2751319.756290731,3.2637245033104756e+22,8.43e-17
pi_plus,meson,weak,2,2.0,4.03465718213387,231.16882831841625,-0.6270277162426132,-0.7789969467613932,14.943771874719356,878560907002411.5,3.374797015335964e+22,2.6033e-08
K_plus,meson,weak,2,2.0,2.4653956322123847,141.256764555757,-0.7799583765423884,0.6258313917193367,15.169617903259415,1477807625730168.0,1.193705675064756e+23,1.238e-08
