particle_a,particle_b,bases_close_count,fraction_of_bases_close,mean_3d_distance,min_3d_distance,max_3d_distance
B0,Bs0,9,1.0,0.09048063665998468,0.03217874892002963,0.20505611943065175
W,Z,9,1.0,0.30542645391673257,0.10944542554021598,0.6848374596413972
B_plus,Bs0,9,1.0,0.3471005373778666,0.12468550714216238,0.7755493550153497
omega_782,top,9,1.0,0.35921557435832885,0.12913821655536797,0.8017227101994379
B_plus,B0,9,1.0,0.43376334264774913,0.15679246190694343,0.9605207158667124
J_psi,Higgs,9,1.0,0.5075065848599531,0.18465989055027388,1.1131054180581073
D0,Ds_plus,7,0.7777777777777778,1.2030332072097505,0.5147912067635319,1.9952565039551071
rho_770,Z,7,0.7777777777777778,1.289440198534611,0.8997454184841162,2.040937388528544
pi_plus,K_long,7,0.7777777777777778,1.2907838230131075,0.892630733114415,2.043378853331978
rho_770,W,7,0.7777777777777778,1.3019753795167832,0.8715271657873275,2.0123668513644524
phi_1020,Z,6,0.6666666666666666,1.3660931118257233,0.8306834244399101,2.072119784699771
Lambda,K_short,6,0.6666666666666666,1.3692340501266993,0.8289696059446661,2.072768385211376
Ds_plus,B0,6,0.6666666666666666,1.386601942917469,0.9192056003749288,2.005360004328609
Ds_plus,Bs0,6,0.6666666666666666,1.4067999523995778,0.9567150245469803,2.0822833012298285
Delta_1232,top,6,0.6666666666666666,1.4078344770903,0.9591095201841123,2.085704272902105
omega_782,W,6,0.6666666666666666,1.4301018574220272,0.5011903066835802,2.028722317106192
eta,Upsilon_1S,6,0.6666666666666666,1.4321964138521455,0.5072559974579269,2.0281914238440497
Z,top,6,0.6666666666666666,1.443725176023605,0.5430359092469065,2.0250081292106468
pi_plus,K_plus,6,0.6666666666666666,1.465708765234876,0.5499507974227863,2.008777992171004
phi_1020,W,6,0.6666666666666666,1.480291181280666,0.7946315256729933,2.0907718455224416
Ds_plus,B_plus,6,0.6666666666666666,1.4848931280968327,0.9969354893845584,2.209952826566809
Delta_1232,omega_782,6,0.6666666666666666,1.4883708620022689,0.9955717031963257,2.2089295284076385
muon,K_long,6,0.6666666666666666,1.5266165744577915,0.9841077423656562,2.142102718509121
Lambda,Xi_minus,5,0.5555555555555556,1.3124064719246267,0.602256864860336,1.9569770579157537
Sigma_plus,Omega_minus,5,0.5555555555555556,1.406465341638562,0.7303838856573911,1.9996570174890158
Xi_minus,Omega_minus,5,0.5555555555555556,1.4172741648239588,0.3833817033440478,2.0096353348892517
tau,D0,5,0.5555555555555556,1.4233645066082592,0.7871033687311922,1.960954774620956
Sigma_plus,Xi_minus,5,0.5555555555555556,1.4935881042256294,0.7505160067630017,2.003683752493164
Omega_minus,B0,5,0.5555555555555556,1.7093860131990737,1.3601125113994121,2.347491453876851
rho_770,omega_782,5,0.5555555555555556,1.7294447826460702,1.2577615158677005,2.356693649157917
omega_782,phi_1020,4,0.4444444444444444,1.3402034812483952,0.42080967197372354,2.038523465261834
D0,D_plus,4,0.4444444444444444,1.3567629452267806,0.4049388724223048,2.0398851754510186
omega_782,Z,4,0.4444444444444444,1.3586145644532073,0.40288407534169257,2.0397932558603635
phi_1020,top,4,0.4444444444444444,1.4222382732033294,0.4617639474130337,2.041214164326051
W,top,4,0.4444444444444444,1.5060206591612686,0.8223950551960801,1.9948653392553444
Sigma_plus,K_short,4,0.4444444444444444,1.532749776172019,0.6893559964894279,1.9631065048899934
Lambda,Omega_minus,4,0.4444444444444444,1.5342369900510364,0.6388801952512547,1.982087160914935
tau,Ds_plus,4,0.4444444444444444,1.544396643907056,0.49151745807381414,1.9767755829584415
D0,B0,4,0.4444444444444444,1.5981800038184093,1.027444124089893,2.218096051479206
D_plus,B0,4,0.4444444444444444,1.603605626649858,0.6768290572453648,2.072229420531225
D0,Bs0,4,0.4444444444444444,1.6037770931447926,1.0402481244761694,2.202228391724136
K_plus,K_long,4,0.4444444444444444,1.6042673281558448,0.6572885898096394,2.0740350318506526
D_plus,Bs0,4,0.4444444444444444,1.6084253611396315,0.6287172100612279,2.078476606841324
Sigma_plus,B_plus,4,0.4444444444444444,1.6243444716804567,1.0450910404205833,2.243464172235025
D0,B_plus,4,0.4444444444444444,1.6469218192482888,1.0816067076088134,2.2603208237426196
Upsilon_1S,Higgs,4,0.4444444444444444,1.6488111053418497,0.8164924565841697,2.1337021388258437
Sigma_plus,Bs0,4,0.4444444444444444,1.689764941179758,1.1521631654067115,2.2547807925265
tau,B_plus,4,0.4444444444444444,1.7058792907018576,1.294340308205668,2.3353231162271797
Xi_minus,pi_plus,4,0.4444444444444444,1.7058869681786877,1.2960142319116212,2.335280683705555
rho_770,top,4,0.4444444444444444,1.7060495066242973,1.2741263553601003,2.335755648788796
Omega_minus,Bs0,4,0.4444444444444444,1.7062320495837984,1.3134602261139472,2.338253858695114
