name,family,mass_mev,lifetime_s,stability,decay_channel_count,source
electron,lepton,0.51099895069,,stable,0,https://pdg.lbl.gov/2025/listings/contents_listings.html
muon,lepton,105.6583755,2.1969811e-6,unstable,1,https://pdg.lbl.gov/2025/listings/contents_listings.html
tau,lepton,1776.93,2.903e-13,unstable,5,https://pdg.lbl.gov/2025/listings/contents_listings.html
proton,baryon,938.27208943,,stable,0,https://pdg.lbl.gov/2025/listings/contents_listings.html
neutron,baryon,939.56542194,878.4,unstable,1,https://pdg.lbl.gov/2025/listings/contents_listings.html
pi0,meson,134.9768,8.43e-17,unstable,2,https://pdg.lbl.gov/2025/listings/contents_listings.html
pi_plus,meson,139.57039,2.6033e-8,unstable,4,https://pdg.lbl.gov/2025/listings/contents_listings.html
K_plus,meson,493.677,1.2380e-8,unstable,6,https://pdg.lbl.gov/2025/listings/contents_listings.html
K_short,meson,497.611,8.954e-11,unstable,2,https://pdg.lbl.gov/2025/listings/contents_listings.html
K_long,meson,497.611,5.116e-8,unstable,6,https://pdg.lbl.gov/2025/listings/contents_listings.html
D_plus,meson,1869.66,1.033e-12,unstable,6,https://pdg.lbl.gov/2025/listings/contents_listings.html
B_plus,meson,5279.41,1.638e-12,unstable,6,https://pdg.lbl.gov/2025/listings/contents_listings.html
J_psi,meson,3096.900,7.08e-21,unstable,5,https://pdg.lbl.gov/2025/listings/contents_listings.html
W,boson,80369.2,3.16e-25,unstable,5,https://pdg.lbl.gov/2025/listings/contents_listings.html
Z,boson,91188.0,2.64e-25,unstable,6,https://pdg.lbl.gov/2025/listings/contents_listings.html
Higgs,boson,125200,1.6e-22,unstable,6,https://pdg.lbl.gov/2025/listings/contents_listings.html
top,quark,172560,3.3e-25,unstable,2,https://pdg.lbl.gov/2025/listings/contents_listings.html
