special_base,base_index,base,circular_mean_rad,circular_mean_deg,circular_variance,resultant_length_R,entropy_bits,largest_gap_deg,largest_gap_from,largest_gap_to,top_3_gap_sum_deg,top_5_gap_sum_deg,gap_distribution_deg,cluster_count,mean_cluster_density,isolated_points,top4_symmetry_score,within_continuous_scan,nearest_scan_base,neighbor_largest_gap_percentile,neighbor_symmetry_percentile
2,0,2.0,4.111644568592704,235.57988063825005,0.7596089917024786,0.24039100829752139,3.256480488351692,79.49036238810933,eta,Higgs,139.90234621485575,189.78273246893596,"[79.490362388109, 32.553305340765, 27.858678485982, 26.779036372231, 23.101349881849, 15.966875134631, 15.058264186681, 13.232463742654, 13.118357711109, 11.819856809083, 9.476729180221, 8.166354595122, 7.925764299036, 7.645468351007, 7.610373291928, 7.42914051805, 6.877609729183, 6.532847633343, 5.896029875329, 5.824984061657, 5.19896132733, 5.008371738444, 4.643385182244, 4.352411583929, 3.973921235199, 1.902382947002, 0.921009154027, 0.917531176108, 0.470669063564, 0.221500145332, 0.026004858853]",2,15.5,0,0.0246335096299058,True,2.0004800960192037,0.9902912621359223,0.941747572815534
e,1,2.718281828459045,4.130579443490303,236.6647690554907,0.8581458751825846,0.14185412481741544,3.3981049891763107,34.86730070154387,K_short,eta,89.59710496538962,135.91405006920883,"[34.867300701544, 27.40720757746, 27.322596686386, 23.198487164577, 23.118457939242, 20.21147796983, 17.440303082019, 15.307869081379, 15.121744708137, 14.631728878983, 14.615600085018, 14.134586984732, 13.558464463349, 11.836232321216, 10.305071814618, 9.529937831462, 9.474908022938, 7.422046421229, 6.639046802952, 5.660485663061, 5.164147640486, 4.958336375826, 4.543957076891, 4.504935773, 4.15697403501, 3.369310336139, 3.14589987654, 2.975445921398, 2.736664082613, 1.90803073613, 0.732743945833]",1,31.0,0,0.031762615831094895,True,2.722864572914583,0.4411764705882353,0.09803921568627451
pi,2,3.141592653589793,4.0085025081877355,229.67027588676197,0.8236848172042547,0.1763151827957453,3.3295341175933175,44.484155084743264,pi_plus,phi_1020,108.8059688040498,157.23377211229723,"[44.484155084743, 38.149200153672, 26.172613565635, 24.459098559436, 23.968704748811, 18.634337269222, 16.825187445394, 14.401633740073, 12.399624172382, 11.1126571419, 10.185457021197, 9.670681779392, 9.658818982614, 9.214080959898, 8.155225156221, 8.101806034158, 8.058012835617, 7.788737400433, 7.497168260849, 6.875914584757, 6.054167428746, 5.800107153841, 5.356402281688, 5.049694320781, 4.944822121823, 4.036292635831, 3.795580899578, 3.650842951954, 2.411233652076, 1.639260750487, 1.448480906789]",2,15.5,1,0.021622582964376514,True,3.142628525705141,0.5728155339805825,0.2815533980582524
phi,3,1.618033988749895,4.710933970796766,269.91663409146093,0.7651241947083053,0.23487580529169474,3.2934239408590034,42.479124551661016,proton,Lambda,114.28216371845453,170.15252412128092,"[42.479124551661, 39.934080426061, 31.868958740733, 29.469115031214, 26.401245371613, 24.519066525072, 20.118440954263, 18.167480022978, 16.454930759874, 13.623321567022, 10.440308567055, 7.750845346963, 7.138683805106, 6.961577527227, 6.580578753048, 6.458326465363, 6.051892857983, 5.271441200024, 4.906065930579, 4.451320301572, 4.228023826259, 4.135502220414, 3.699790885382, 3.469883018385, 2.988792263074, 2.950900909554, 2.793311792502, 1.923790361849, 1.744084370698, 1.673396509585, 1.345719136888]",4,7.75,1,0.015298113185061754,True,1.619763952790558,0.8,0.06315789473684211
2*pi,4,6.283185307179586,5.660670620565618,324.33253577211053,0.9088881648466609,0.09111183515333915,3.364383003446737,41.34233210668759,K_long,rho_770,106.17793862735766,147.74825119311825,"[41.342332106688, 38.932077620385, 25.903528900285, 23.876360784461, 17.6939517813, 17.401914005053, 17.399317518245, 17.134923454507, 16.641135611193, 15.610768732272, 14.386774253138, 13.819143568276, 13.327663068455, 9.243199281412, 9.179315932141, 8.816251983396, 8.661283079158, 8.560850239897, 8.234658690515, 6.381650546901, 4.25338804558, 3.628577077843, 3.124284876282, 3.079904399765, 3.011976307015, 2.821608981548, 2.703806869629, 1.855175284284, 1.19244334307, 1.055384583113, 0.726349074194]",2,15.5,0,0.029801793416834924,True,6.285977195439088,0.3235294117647059,0.5392156862745098
sqrt(2*pi),5,2.5066282746310002,5.680035271551206,325.44204854532853,0.8541204666741885,0.14587953332581152,3.385512746416208,33.647459741535926,Upsilon_1S,D0,100.0495681883433,157.92643178979884,"[33.647459741536, 33.282271222385, 33.119837224422, 31.221537464545, 26.655326136911, 24.655415728721, 18.358631864283, 17.632503966793, 17.322566158316, 16.469317381031, 15.098136016295, 12.763301093801, 10.148412281384, 9.182916009783, 8.50677609116, 7.257154155685, 6.248569752564, 6.023952614031, 5.643217963096, 5.407613739258, 3.710350568568, 3.181727329611, 2.384886686141, 2.268066338177, 2.110769166227, 2.023564463498, 1.873972143377, 1.452698148387, 1.151175294953, 0.622387167477, 0.575486087584]",4,7.75,0,0.0205841846228827,True,2.508101620324065,0.038834951456310676,0.4368932038834951
pi^2,6,9.869604401089358,3.872886917061798,221.9000748790739,0.8951878726407433,0.1048121273592567,3.361161536668999,41.316677619207624,pi0,phi_1020,112.76554286155032,167.78751021748042,"[41.316677619208, 36.450136684825, 34.998728557517, 27.947362397589, 27.074604958341, 18.184164460597, 17.4456842298, 17.058958771025, 13.810547236212, 13.34617505242, 11.900540498263, 10.553586792252, 9.948396216616, 9.585334988758, 9.252047101486, 8.501409180166, 8.412593722697, 7.200816870037, 5.092728510599, 4.835340889696, 4.07761257811, 3.751324167768, 3.437957292379, 2.90005357692, 2.678201140844, 2.472411060912, 2.018146317915, 1.897790449789, 1.825421475977, 1.205616826038, 0.819630375244]",3,10.333333333333334,0,0.019008873159747634,True,9.868613722744549,0.36893203883495146,0.1650485436893204
e^pi,7,23.140692632779263,0.10361547004826475,5.936729126029762,0.8780164531835032,0.1219835468164968,3.0629321012549178,68.23036823528976,electron,eta,146.89357937135316,192.7677704119651,"[68.23036823529, 44.379364347531, 34.283846788533, 23.163492516835, 22.710698523777, 22.5950951855, 19.903847409224, 19.0060468595, 10.541925386001, 9.087093493069, 7.783432013243, 7.235156816602, 6.985386482217, 6.849598563396, 6.757289452579, 6.445985151674, 6.352214347204, 6.141014979284, 5.140690157937, 4.826377001997, 4.258384686916, 3.595430395808, 3.362844753075, 2.820494770285, 2.257206420429, 1.872357591766, 1.801788547154, 1.180171965449, 0.351523216252, 0.067184723036, 0.013689218438]",3,10.333333333333334,0,0.02721423819479166,True,23.144868973794757,0.5098039215686274,0.5196078431372549
10,8,10.0,2.226512639522289,127.56977727716001,0.9243581232607512,0.07564187673924878,3.2934239408590034,31.89223863664338,pi_plus,K_short,90.55198458155265,138.1266042589822,"[31.892238636643, 31.377831767356, 27.281914177554, 24.674914094924, 22.899705582506, 21.962165210244, 18.948670515949, 15.457217940817, 15.294147727591, 12.236694445454, 12.079579601991, 11.870762706846, 11.55567115857, 10.439630877941, 9.87147687691, 9.515355869941, 9.349071323191, 8.917131668315, 8.364639796532, 7.300776819007, 7.147216417105, 5.71008718317, 5.692092295636, 5.302927823613, 4.624297782943, 2.45831768836, 2.229919319777, 2.097540950388, 1.888311713634, 1.183931237545, 0.375760789549]",2,15.5,0,0.021526432995879675,True,9.995519103820763,0.049019607843137254,0.27450980392156865
1/alpha,9,137.03599917759013,2.1502390225539645,123.19962093667759,0.8155933667635091,0.18440663323649084,3.2998668744144792,64.35936751787949,omega_782,Higgs,140.5731279721437,190.74837419297455,"[64.359367517879, 44.280407332552, 31.933353121712, 26.140620089565, 24.034626131266, 21.906777656015, 17.229341081118, 14.654245489976, 12.641166646889, 11.555402929614, 10.926069009489, 7.635356229143, 7.278237641369, 7.262534245161, 7.184873758668, 6.680845696343, 5.953302237201, 5.70521753116, 5.696539222834, 4.619672739355, 4.460193513941, 3.914500223665, 3.606760688186, 2.577197854441, 1.765246896833, 1.491022016309, 1.235002831391, 1.150448241048, 1.136899958106, 0.913708332827, 0.071063135941]",3,10.333333333333334,0,0.02291874686198743,False,,,
