variant,tau_stable_s,base,base_value,category_type,category,particle_count,angular_centroid_deg,angular_variance
finite_lifetime_only,,2,2.0,family,baryon,6,224.79249578100257,0.8719843691043792
finite_lifetime_only,,2,2.0,family,boson,3,177.74782506171945,0.44913647329285067
finite_lifetime_only,,2,2.0,family,lepton,2,269.92928384900677,0.23035508430956064
finite_lifetime_only,,2,2.0,family,meson,17,247.40526841180431,0.8203230062750783
finite_lifetime_only,,2,2.0,family,quark,1,282.01389550759745,0.0
finite_lifetime_only,,2,2.0,dominant_interaction,electromagnetic,2,74.3011926088991,0.6045838137492012
finite_lifetime_only,,2,2.0,dominant_interaction,mixed,3,126.52335225622696,0.6997718080542916
finite_lifetime_only,,2,2.0,dominant_interaction,strong,4,284.57699873699823,0.562013271237689
finite_lifetime_only,,2,2.0,dominant_interaction,weak,20,239.6365485189162,0.6753010173542877
finite_lifetime_only,,e,2.718281828459045,family,baryon,6,236.58752503114485,0.6286127502932983
finite_lifetime_only,,e,2.718281828459045,family,boson,3,253.88782685289942,0.3671882374431813
finite_lifetime_only,,e,2.718281828459045,family,lepton,2,200.851539622408,0.0014264458800711255
finite_lifetime_only,,e,2.718281828459045,family,meson,17,50.38824207002423,0.9170825267214938
finite_lifetime_only,,e,2.718281828459045,family,quark,1,224.07609155455916,0.0
finite_lifetime_only,,e,2.718281828459045,dominant_interaction,electromagnetic,2,347.86188469833536,0.35626400122196056
finite_lifetime_only,,e,2.718281828459045,dominant_interaction,mixed,3,160.69424663445326,0.3657651363780301
finite_lifetime_only,,e,2.718281828459045,dominant_interaction,strong,4,238.66709542408105,0.20796291172956827
finite_lifetime_only,,e,2.718281828459045,dominant_interaction,weak,20,232.84528034893626,0.8960672914643978
finite_lifetime_only,,pi,3.141592653589793,family,baryon,6,297.93770813618426,0.7459595167109069
finite_lifetime_only,,pi,3.141592653589793,family,boson,3,184.92148215716173,0.10248107344700996
finite_lifetime_only,,pi,3.141592653589793,family,lepton,2,181.7246778343609,0.6064440989426853
finite_lifetime_only,,pi,3.141592653589793,family,meson,17,273.072303654666,0.7223557403515835
finite_lifetime_only,,pi,3.141592653589793,family,quark,1,104.71516051495932,0.0
finite_lifetime_only,,pi,3.141592653589793,dominant_interaction,electromagnetic,2,297.6972300629147,0.2972620002204487
finite_lifetime_only,,pi,3.141592653589793,dominant_interaction,mixed,3,166.7031892254889,0.6855970292549305
finite_lifetime_only,,pi,3.141592653589793,dominant_interaction,strong,4,116.5805930217793,0.665522075299308
finite_lifetime_only,,pi,3.141592653589793,dominant_interaction,weak,20,251.05958335857935,0.7083986226206924
finite_lifetime_only,,phi,1.618033988749895,family,baryon,6,311.86012245613153,0.6535801686925083
finite_lifetime_only,,phi,1.618033988749895,family,boson,3,247.5538294628846,0.06934135803612762
finite_lifetime_only,,phi,1.618033988749895,family,lepton,2,42.89264440445549,0.012541349280317138
finite_lifetime_only,,phi,1.618033988749895,family,meson,17,245.81456104142723,0.668291768059887
finite_lifetime_only,,phi,1.618033988749895,family,quark,1,161.8721785102116,0.0
finite_lifetime_only,,phi,1.618033988749895,dominant_interaction,electromagnetic,2,340.22273272309604,0.3248510101744633
finite_lifetime_only,,phi,1.618033988749895,dominant_interaction,mixed,3,240.69390202673105,0.7500273663072239
finite_lifetime_only,,phi,1.618033988749895,dominant_interaction,strong,4,214.61929805113587,0.49946640076454574
finite_lifetime_only,,phi,1.618033988749895,dominant_interaction,weak,20,262.0615310733541,0.7289553625932937
finite_lifetime_only,,10,10.0,family,baryon,6,151.07665493077144,0.7354936438443602
finite_lifetime_only,,10,10.0,family,boson,3,268.7267251664474,0.03807863174624626
finite_lifetime_only,,10,10.0,family,lepton,2,332.12814012265966,0.5370393107504204
finite_lifetime_only,,10,10.0,family,meson,17,107.95398172126954,0.8692653261824962
finite_lifetime_only,,10,10.0,family,quark,1,50.00703705893419,1.1102230246251565e-16
finite_lifetime_only,,10,10.0,dominant_interaction,electromagnetic,2,227.226658811,0.6414996616236393
finite_lifetime_only,,10,10.0,dominant_interaction,mixed,3,226.32444167097822,0.2770057694003508
finite_lifetime_only,,10,10.0,dominant_interaction,strong,4,51.92116382785078,0.7269017879447233
finite_lifetime_only,,10,10.0,dominant_interaction,weak,20,67.95092262864142,0.915565276513679
stable_truncated_1e+25,1e+25,2,2.0,family,baryon,7,226.8309106395672,0.7475379347127695
stable_truncated_1e+25,1e+25,2,2.0,family,boson,3,177.74782506171945,0.44913647329285067
stable_truncated_1e+25,1e+25,2,2.0,family,lepton,3,275.89743704407243,0.16064807986876584
stable_truncated_1e+25,1e+25,2,2.0,family,meson,17,247.40526841180431,0.8203230062750783
stable_truncated_1e+25,1e+25,2,2.0,family,quark,1,282.01389550759745,0.0
stable_truncated_1e+25,1e+25,2,2.0,dominant_interaction,electromagnetic,2,74.3011926088991,0.6045838137492012
stable_truncated_1e+25,1e+25,2,2.0,dominant_interaction,mixed,3,126.52335225622696,0.6997718080542916
stable_truncated_1e+25,1e+25,2,2.0,dominant_interaction,stable,2,256.75181380583865,0.11998100260757727
stable_truncated_1e+25,1e+25,2,2.0,dominant_interaction,strong,4,284.57699873699823,0.562013271237689
stable_truncated_1e+25,1e+25,2,2.0,dominant_interaction,weak,20,239.6365485189162,0.6753010173542877
