variant,tau_stable_s,base,base_value,particle_count,largest_gap_deg,gap_distribution_deg,top_3_symmetry_score,top_4_symmetry_score,top_5_symmetry_score,top_6_symmetry_score
finite_lifetime_only,,2,2.0,29,79.49036238810933,"[79.49036238810933, 32.55330534076473, 29.978959611032135, 27.858678485981695, 26.779036372230955, 15.966875134631184, 15.05826418668104, 13.232463742654236, 13.118357711108507, 11.81985680908303, 9.47672918022136, 8.166354595121867, 7.925764299035633, 7.645468351006703, 7.6103732919280604, 7.4291405180502785, 6.532847633342975, 5.896029875328708, 5.824984061656713, 5.198961327329579, 5.008371738443734, 4.643385182244452, 4.352411583929103, 3.9739212351992355, 1.9023829470019509, 0.9210091540265675, 0.9175311761081034, 0.47066906356363497, 0.24750500418448207]",0.027819387796433122,0.03646395812678943,0.07785870274038806,0.05358579790432523
finite_lifetime_only,,e,2.718281828459045,29,34.86730070154387,"[34.86730070154387, 27.407207577460106, 27.322596686385648, 23.1984871645774, 23.118457939241782, 20.21147796983023, 17.44030308201942, 15.307869081379158, 15.12174470813727, 14.86733093056513, 14.631728878983099, 14.615600085017817, 13.686911866471897, 13.55846446334873, 11.836232321216189, 10.305071814618215, 9.474908022938429, 7.422046421228637, 6.63904680295234, 5.660485663060794, 5.164147640486331, 4.958336375826435, 4.543957076891177, 4.504935772999666, 3.3693103361394288, 3.145899876539726, 2.9754459213984443, 2.7366640826129207, 1.9080307361296918]",0.06757783475102119,0.031762615831094895,0.031981924355931224,0.03782278193249428
finite_lifetime_only,,pi,3.141592653589793,29,44.484155084743264,"[44.484155084743264, 38.149200153672, 27.62109447242402, 24.459098559436264, 23.96870474881117, 18.634337269222083, 16.825187445393833, 14.401633740073487, 12.399624172382483, 11.11265714189983, 10.185457021197038, 9.670681779391698, 9.658818982614015, 9.214080959898464, 9.136429011336457, 8.155225156220627, 8.101806034157754, 8.058012835616937, 7.788737400433074, 6.875914584757401, 6.054167428746233, 5.800107153840617, 5.35640228168788, 5.049694320780773, 4.944822121823215, 4.0362926358309945, 3.7955808995780065, 3.650842951954263, 2.4112336520761177]",0.009821888055665967,0.021454594037051012,0.029737445896542623,0.06176768047505301
finite_lifetime_only,,phi,1.618033988749895,29,43.824843688548754,"[43.824843688548754, 39.93408042606065, 31.868958740732857, 29.469115031213846, 26.401245371612546, 24.519066525072045, 20.11844095426341, 18.167480022978, 16.454930759874177, 13.623321567021598, 10.440308567055226, 9.928209483748535, 7.750845346963081, 7.13868380510589, 6.961577527226785, 6.580578753048145, 6.05189285798346, 5.271441200023966, 4.906065930579, 4.451320301571958, 4.228023826258628, 4.135502220414345, 3.6997908853821597, 2.9887922630737784, 2.9509009095539764, 2.7933117925022373, 1.9237903618485068, 1.744084370697869, 1.6733965095845436]",0.011458769013206018,0.015298113185061754,0.03236871261241122,0.040293132966403404
finite_lifetime_only,,10,10.0,29,31.89223863664338,"[31.89223863664338, 31.377831767355538, 27.28191417755372, 24.67491409492407, 22.899705582505515, 22.31039358478672, 21.9621652102442, 18.94867051594878, 16.179968941512197, 15.45721794081698, 15.294147727591374, 12.236694445454146, 12.07957960199127, 9.871476876909712, 9.515355869941395, 9.349071323191321, 8.917131668314825, 8.364639796532451, 7.300776819006755, 7.147216417104618, 5.710087183169787, 5.6920922956364555, 5.302927823612876, 2.458317688360057, 2.2299193197765925, 2.0975409503877422, 1.888311713633672, 1.1839312375446749, 0.3757607895491428]",0.021365098219250096,0.021526432995879675,0.024506666714563943,0.030114627523043957
stable_truncated_1e+25,1e+25,2,2.0,31,79.49036238810933,"[79.49036238810933, 32.55330534076473, 29.978959611032135, 27.858678485981695, 26.779036372230955, 15.966875134631184, 15.05826418668104, 13.232463742654236, 13.118357711108507, 11.81985680908303, 9.47672918022136, 8.166354595121867, 7.925764299035633, 7.645468351006703, 7.4291405180502785, 6.532847633342975, 5.896029875328708, 5.824984061656713, 5.755545107658586, 5.198961327329579, 5.008371738443734, 4.643385182244452, 3.9739212351992355, 3.0932631460411604, 1.9023829470019509, 1.8548281842694745, 1.2591484378879425, 0.9210091540265675, 0.9175311761081034, 0.47066906356363497, 0.24750500418448207]",0.027819387796433122,0.03646395812678943,0.07785870274038806,0.05358579790432523
stable_truncated_1e+25,1e+25,e,2.718281828459045,31,34.86730070154387,"[34.86730070154387, 27.407207577460106, 27.322596686385648, 23.1984871645774, 23.118457939241782, 20.21147796983023, 15.307869081379158, 15.01861201864669, 14.86733093056513, 14.631728878983099, 14.615600085017817, 13.686911866471897, 13.55846446334873, 12.81664983526994, 11.836232321216189, 10.305071814618215, 9.474908022938429, 7.422046421228637, 6.63904680295234, 5.660485663060794, 5.164147640486331, 4.958336375826435, 4.623653246749477, 4.543957076891177, 4.504935772999666, 3.3693103361394288, 3.145899876539726, 2.9754459213984443, 2.7366640826129207, 1.9080307361296918, 0.1031326894905789]",0.06757783475102119,0.031762615831094895,0.031981924355931224,0.03782278193249428
stable_truncated_1e+25,1e+25,pi,3.141592653589793,31,44.484155084743264,"[44.484155084743264, 38.149200153672, 24.459098559436264, 23.96870474881117, 18.668573035036218, 18.634337269222083, 16.825187445393833, 14.401633740073487, 12.399624172382483, 11.11265714189983, 10.185457021197038, 9.670681779391698, 9.658818982614015, 9.214080959898464, 9.136429011336457, 8.952521437387803, 8.155225156220627, 8.101806034157754, 8.058012835616937, 7.788737400433074, 6.875914584757401, 6.054167428746233, 5.800107153840617, 5.35640228168788, 5.049694320780773, 4.944822121823215, 4.0362926358309945, 3.7270960733744194, 3.650842951954263, 2.4112336520761177, 0.06848482620358676]",0.01870713205018454,0.039460712243243684,0.029737445896542623,0.06176768047505301
stable_truncated_1e+25,1e+25,phi,1.618033988749895,31,43.824843688548754,"[43.824843688548754, 39.93408042606065, 31.868958740732857, 24.519066525072045, 23.410049587145647, 21.699316017449913, 20.11844095426341, 18.167480022978, 16.454930759874177, 13.623321567021598, 10.440308567055226, 9.928209483748535, 7.769799013763934, 7.750845346963081, 7.13868380510589, 6.961577527226785, 6.580578753048145, 6.05189285798346, 5.271441200023966, 4.906065930579, 4.451320301571958, 4.228023826258628, 4.135502220414345, 3.6997908853821597, 2.9911957844669015, 2.9887922630737784, 2.9509009095539764, 2.7933117925022373, 1.9237903618485068, 1.744084370697869, 1.6733965095845436]",0.011458769013206018,0.017388082750345736,0.03120206102257457,0.04343175942166192
stable_truncated_1e+25,1e+25,10,10.0,31,31.89223863664338,"[31.89223863664338, 31.377831767355538, 27.28191417755372, 24.67491409492407, 22.31039358478672, 21.9621652102442, 21.424660613614034, 18.94867051594878, 16.179968941512197, 15.45721794081698, 12.754623430322669, 12.236694445454146, 12.07957960199127, 9.871476876909712, 9.515355869941395, 9.349071323191321, 8.917131668314825, 8.364639796532451, 7.300776819006755, 7.147216417104618, 5.710087183169787, 5.6920922956364555, 5.302927823612876, 2.5395242972687067, 2.458317688360057, 2.2299193197765925, 2.0975409503877422, 1.888311713633672, 1.4750449688914815, 1.1839312375446749, 0.3757607895491428]",0.021365098219250096,0.021526432995879675,0.024386595489311012,0.023619195319245282
