lower,upper,frequency_ratio,mass_ratio,log10_gap
electron,muon,206.76828270846718,206.76828270846718,2.315483920780112
B_plus,W,15.223140464559485,15.223140464559487,1.1825042546511995
pi_plus,K_plus,3.537118438946828,3.537118438946828,0.5486496022291877
neutron,tau,1.8912254096484553,1.891225409648455,0.2767432942244156
K_long,proton,1.8855533527795807,1.885553352779581,0.2754388255191237
J_psi,B_plus,1.7047402240950627,1.7047402240950627,0.2316582086437316
D_plus,J_psi,1.6563974198517382,1.6563974198517377,0.21916454533612087
Higgs,top,1.3782747603833865,1.3782747603833865,0.13933580322007771
Z,Higgs,1.3729876738167301,1.3729876738167304,0.1376666383165756
muon,pi0,1.2774832034020815,1.2774832034020813,0.10635519865587253
W,Z,1.1346137575090955,1.1346137575090955,0.0548480452026492
tau,D_plus,1.0521855109655416,1.0521855109655418,0.022092317085699854
pi0,pi_plus,1.0340324411306239,1.0340324411306239,0.014534164273401689
K_plus,K_short,1.0079687731046818,1.0079687731046818,0.0034470778650700883
proton,neutron,1.0013784194633624,1.0013784194633624,0.0005982277569506397
K_short,K_long,1.0,1.0,0.0
