name,family,mass_mev,compton_frequency_hz,lifetime_s,stability,representative_decay_mode_count,dominant_interaction,compton_cycles,quality_factor,relative_width
electron,lepton,0.51099895069,1.2355899654851015e+20,,stable,0,stable,,,
muon,lepton,105.6583755,2.5548081529516867e+22,2.1969811e-06,unstable,1,weak,5.612865226160765e+16,3.5266672320192544e+17,2.8355382978037104e-18
tau,lepton,1776.93,4.2965976239379536e+23,2.903e-13,unstable,5,weak,124730229022.9188,783703142357.9481,1.2759933525228365e-12
proton,baryon,938.27208943,2.268731818390278e+23,,stable,0,stable,,,
neutron,baryon,939.56542194,2.2718590824858967e+23,878.4,unstable,1,weak,1.9956010180556114e+26,1.2538730995639642e+27,7.9752887301573915e-28
Lambda,baryon,1115.683,2.6977094915770273e+23,2.617e-10,unstable,2,weak,70599057394570.8,443586960122295.56,2.2543494058623884e-15
Sigma_plus,baryon,1189.37,2.8758838648585384e+23,8.018e-11,unstable,3,weak,23058836828435.76,144882944761079.1,6.902123653333121e-15
Xi_minus,baryon,1321.71,3.195880561156057e+23,1.639e-10,unstable,1,weak,52380482397347.77,329116277381994.5,3.038439812076911e-15
Omega_minus,baryon,1672.45,4.043966107924921e+23,8.21e-11,unstable,1,weak,33200961746063.605,208607795027098.34,4.793684722424198e-15
Delta_1232,baryon,1232.0,2.978962746248619e+23,5.6e-24,unstable,1,strong,1.6682191378992268,10.481729976404218,0.0954040985840252
pi0,meson,134.9768,3.2637245033104756e+22,8.43e-17,unstable,2,electromagnetic,2751319.756290731,17287051.868078843,5.7846763440707645e-08
pi_plus,meson,139.57039,3.374797015335964e+22,2.6033e-08,unstable,4,weak,878560907002411.5,5520160982339923.0,1.8115413720708435e-16
K_plus,meson,493.677,1.193705675064756e+23,1.238e-08,unstable,6,weak,1477807625730168.0,9285339160825740.0,1.0769665842890661e-16
K_short,meson,497.611,1.2032180447431181e+23,8.954e-11,unstable,2,weak,10773614372629.879,67692615531326.87,1.4772660092255097e-14
K_long,meson,497.611,1.2032180447431181e+23,5.116e-08,unstable,6,weak,6155663516905793.0,3.8677174565363896e+16,2.5855042702512142e-17
eta,meson,547.862,1.3247244221471272e+23,5.02e-19,unstable,4,electromagnetic,66501.16599178579,417839.1490698992,2.393265452090782e-06
rho_770,meson,775.26,1.8745703398187536e+23,4.41e-24,unstable,1,strong,0.8266855198600702,5.194218312042911,0.19252175013157952
omega_782,meson,782.66,1.892463460210182e+23,7.75e-23,unstable,3,strong,14.66659181662891,92.15291420864312,0.01085152877244775
phi_1020,meson,1019.461,2.4650457307251326e+23,1.55e-22,unstable,4,strong,38.208208826239556,240.06925631067776,0.0041654646470262015
D0,meson,1864.84,4.509163058209639e+23,4.103e-13,unstable,6,weak,185010960278.34146,1162458147288.061,8.60246024627153e-13
D_plus,meson,1869.66,4.5208177663564874e+23,1.033e-12,unstable,6,weak,467000475264.6251,2934250524628.576,3.4080252916597234e-13
Ds_plus,meson,1968.35,4.759449124657848e+23,5.012e-13,unstable,6,weak,238543590127.85135,1498813580613.185,6.671943815660427e-13
J_psi,meson,3096.9,7.488270883812783e+23,7.08e-21,unstable,5,mixed,5301.69578573945,33311.537064094045,3.001962947779685e-05
B_plus,meson,5279.41,1.2765556584555537e+24,1.638e-12,unstable,6,weak,2090998168550.197,13138128969974.021,7.611433882902258e-14
B0,meson,5279.72,1.2766306161220584e+24,1.517e-12,unstable,6,weak,1936648644657.1626,12168322309279.143,8.218059766854092e-14
Bs0,meson,5366.93,1.297717900302281e+24,1.516e-12,unstable,6,weak,1967340336858.258,12361163898769.545,8.089853093037153e-14
Upsilon_1S,meson,9460.4,2.2875145425820157e+24,1.219e-20,unstable,3,mixed,27884.80227407477,175205.3799420745,5.707587291729368e-06
W,boson,80369.2,1.9433186099497117e+25,3.16e-25,unstable,5,weak,6.140886807441088,38.584329761566806,0.02591725724353732
Z,boson,91188.0,2.204916030072395e+25,2.64e-25,unstable,6,weak,5.820978319391123,36.574285449809224,0.027341614134124285
Higgs,boson,125200.0,3.027322531090317e+25,1.6e-22,unstable,6,mixed,4843.7160497445075,30433.965515904634,3.285802500753328e-05
top,quark,172560.0,4.172482236141734e+25,3.3e-25,unstable,2,weak,13.769191379267722,86.51438096595878,0.01155877195022033
